"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","6.70","CHI","BAL","11","2021-11-21","4","1:48","4","11","(1:48) (Shotgun) 14-A.Dalton pass deep right to 84-M.Goodwin for 49 yards, TOUCHDOWN. PENALTY on BAL-99-O.Oweh, Roughing the Passer, 1 yard, enforced between downs.","Box Score"
"","4.98","NYG","DAL","15","2021-12-19","3","13:48","4","1","(13:48) 28-D.Booker left end to DAL 35 for 31 yards (18-D.Kazee). PENALTY on DAL-18-D.Kazee, Horse Collar Tackle, 15 yards, enforced at DAL 35.","Box Score"
"","4.59","LAC","CLE","5","2021-10-10","4","9:10","4","4","(9:10) (Shotgun) 10-J.Herbert pass incomplete deep right to 81-M.Williams. PENALTY on CLE-38-A.Green, Defensive Pass Interference, 33 yards, enforced at LAC 41 - No Play.","Box Score"
"","4.40","DET","DEN","14","2021-12-12","4","15:00","4","4","(15:00) (Shotgun) 16-J.Goff pass short left to 14-A.St. Brown ran ob at DEN 15 for 19 yards (30-C.Sterns). PENALTY on DEN-30-C.Sterns, Unnecessary Roughness, 8 yards, enforced at DEN 15.","Box Score"
"","4.02","WAS","NO","5","2021-10-10","1","1:00","4","15","(1:00) 5-T.Way punts 38 yards to NO 11, Center-54-C.Cheeseman, out of bounds. PENALTY on NO-96-C.Granderson, Roughing the Kicker, 15 yards, enforced at NO 49 - No Play.","Box Score"
"","3.93","NYG","PHI","16","2021-12-26","4","6:29","4","8","(6:29) (Shotgun) 2-M.Glennon pass short right to 89-K.Toney to PHI 43 for 4 yards (33-J.Scott). PENALTY on PHI-33-J.Scott, Unnecessary Roughness, 15 yards, enforced at PHI 43.","Box Score"
"","3.89","PIT","MIN","14","2021-12-09","1","8:13","4","4","(8:13) (No Huddle, Shotgun) 7-B.Roethlisberger scrambles up the middle to MIN 34 for 5 yards (90-S.Richardson). PENALTY on MIN-24-M.Alexander, Defensive Holding, 5 yards, enforced at MIN 34.","Box Score"
"","3.82","CAR","WAS","11","2021-11-21","1","11:29","4","1","(11:29) 22-C.McCaffrey right end to WAS 35 for 15 yards (55-C.Holcomb). PENALTY on WAS-55-C.Holcomb, Horse Collar Tackle, 15 yards, enforced at WAS 35.","Box Score"
"","3.81","BAL","MIN","9","2021-11-07","3","12:39","4","2","(12:39) (Shotgun) 33-D.Freeman left end pushed ob at BAL 44 for 8 yards (27-C.Dantzler). PENALTY on MIN, Unsportsmanlike Conduct, 15 yards, enforced at BAL 44.","Box Score"
"","3.77","TEN","IND","3","2021-09-26","3","4:56","4","5","(4:56) 6-B.Kern punts 56 yards to IND 21, Center-46-M.Cox. 21-N.Hines to IND 32 for 11 yards (44-T.Carter). PENALTY on IND-44-Z.Franklin, Roughing the Kicker, 15 yards, enforced at TEN 23 - No Play.","Box Score"
"","3.74","PIT","DEN","5","2021-10-10","3","2:58","4","12","(2:58) 9-C.Boswell 51 yard field goal is GOOD, NULLIFIED by Penalty, Center-46-C.Kuntz, Holder-6-P.Harvin. PENALTY on DEN-93-D.Jones, Leverage, 15 yards, enforced at DEN 33 - No Play.","Box Score"
"","3.73","DEN","KC","18","2022-01-08","1","5:22","4","8","(5:22) 6-S.Martin punts 43 yards to KC 22, Center-46-J.Bobenmoyer, fair catch by 21-M.Hughes. PENALTY on KC-39-Z.Anderson, Roughing the Kicker, 15 yards, enforced at DEN 35 - No Play.","Box Score"
"","3.70","PIT","KC","16","2021-12-26","3","3:55","4","4","(3:55) (Shotgun) 7-B.Roethlisberger pass incomplete deep left to 11-C.Claypool. PENALTY on KC-38-L.Sneed, Defensive Pass Interference, 21 yards, enforced at KC 32 - No Play. Penalty on KC-95-C.Jones, Defensive Offside, declined.","Box Score"
"","3.69","CHI","ARI","13","2021-12-05","4","11:55","4","16","(11:55) 16-P.O'Donnell punts 43 yards to ARI 42, Center-48-P.Scales, fair catch by 4-R.Moore. PENALTY on ARI-45-D.Gardeck, Roughing the Kicker, 15 yards, enforced at CHI 15 - No Play.","Box Score"
"","3.63","MIN","ARI","2","2021-09-19","3","2:42","4","7","(2:42) 3-J.Berry punts 47 yards to ARI 19, Center-42-A.DePaola. 4-R.Moore to ARI 30 for 11 yards (29-K.Boyd). PENALTY on ARI-51-T.Vallejo, Roughing the Kicker, 15 yards, enforced at MIN 34 - No Play.","Box Score"
