"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","1.90","KC","JAX","20","2023-01-21","2","5:50","3","3","(5:50) (Shotgun) 4-C.Henne pass short left to 87-T.Kelce to KC 42 for 4 yards (2-R.Jenkins). PENALTY on JAX-49-A.Key, Roughing the Passer, 15 yards, enforced at KC 42.","Box Score"
"","1.62","PHI","NYG","20","2023-01-21","2","1:36","2","9","(1:36) (Shotgun) 1-J.Hurts pass incomplete short right to 14-K.Gainwell. PENALTY on NYG-57-J.Davis, Unnecessary Roughness, 5 yards, enforced at NYG 10.","Box Score"
"","1.47","SF","DAL","20","2023-01-22","3","1:03","3","8","(1:03) (Shotgun) 13-B.Purdy sacked at DAL 26 for -6 yards (sack split by 90-D.Lawrence and 55-L.Vander Esch). PENALTY on DAL-6-D.Wilson, Defensive Holding, 5 yards, enforced at DAL 20 - No Play.","Box Score"
"","0.98","CIN","BUF","20","2023-01-22","1","5:25","3","3","(5:25) (Shotgun) 9-J.Burrow sacked at BUF 33 for -10 yards (55-C.Basham). PENALTY on BUF-55-C.Basham, Defensive Offside, 5 yards, enforced at BUF 23 - No Play.","Box Score"
"","0.84","KC","JAX","20","2023-01-21","4","9:48","2","6","(9:48) (Shotgun) PENALTY on JAX-98-C.Peters, Neutral Zone Infraction, 5 yards, enforced at JAX 45 - No Play.","Box Score"
"","0.60","CIN","BUF","20","2023-01-22","3","2:17","1","5","(2:17) (Shotgun) 9-J.Burrow pass incomplete short left to 16-T.Irwin. PENALTY on BUF-27-T.White, Defensive Pass Interference, 4 yards, enforced at BUF 5 - No Play.","Box Score"
"","0.53","SF","DAL","20","2023-01-22","3","5:58","1","10","(5:58) PENALTY on DAL-90-D.Lawrence, Neutral Zone Infraction, 5 yards, enforced at SF 9 - No Play.","Box Score"
"","0.10","SF","DAL","20","2023-01-22","3","0:37","1","10","(:37) (Shotgun) 19-D.Samuel right tackle to DAL 15 for no gain (90-D.Lawrence; 42-A.Barr). PENALTY on DAL-95-J.Hankins, Defensive Holding, 5 yards, enforced at DAL 15 - No Play.","Box Score"
"","0.00","KC","JAX","20","2023-01-21","2","3:54","0","0","(Kick formation) PENALTY on KC-73-N.Allegretti, False Start, 5 yards, enforced at JAX 15 - No Play.","Box Score"
"","0.00","CIN","BUF","20","2023-01-22","3","1:29","2","1","(1:29) 70-D.Smith reported in as eligible.  PENALTY on BUF, Defensive Too Many Men on Field, 0 yards, enforced at BUF 1 - No Play.","Box Score"
"","-0.00","CIN","BUF","20","2023-01-22","3","1:29","2","1","(1:29) PENALTY on BUF-97-J.Phillips, Encroachment, 0 yards, enforced at BUF 1 - No Play.","Box Score"
"","-0.69","DAL","SF","20","2023-01-22","1","0:56","1","10","(:56) (Shotgun) PENALTY on DAL-73-Ty.Smith, False Start, 5 yards, enforced at DAL 36 - No Play.","Box Score"
"","-0.79","JAX","KC","20","2023-01-21","4","13:04","2","4","(13:04) (Shotgun) PENALTY on JAX-84-C.Manhertz, False Start, 5 yards, enforced at JAX 46 - No Play.","Box Score"
"","-0.89","PHI","NYG","20","2023-01-21","4","2:00","3","4","(2:00) (Shotgun) PENALTY on PHI-63-J.Driscoll, False Start, 5 yards, enforced at NYG 30 - No Play.","Box Score"
"","-1.20","BUF","CIN","20","2023-01-22","2","10:32","1","10","(10:32) (Shotgun) 17-J.Allen scrambles right tackle to CIN 16 for 5 yards (21-M.Hilton). PENALTY on BUF-71-R.Bates, Offensive Holding, 10 yards, enforced at CIN 21 - No Play.","Box Score"
