"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","4.57","GB","SF","20","2024-01-20","3","9:40","3","15","(9:40) (Shotgun) 10-J.Love pass incomplete deep middle to 80-B.Melton. PENALTY on SF-20-A.Thomas, Defensive Pass Interference, 41 yards, enforced at GB 40 - No Play.","Box Score"
"","1.78","GB","SF","20","2024-01-20","1","9:00","3","6","(9:00) (Shotgun) 10-J.Love pass incomplete deep left to 87-R.Doubs [92-C.Young]. PENALTY on SF-20-A.Thomas, Defensive Pass Interference, 13 yards, enforced at SF 26 - No Play.","Box Score"
"","1.58","DET","TB","20","2024-01-21","1","10:12","2","10","(10:12) (Shotgun) 16-J.Goff pass short middle to 9-J.Williams to TB 16 for 11 yards (35-J.Dean). PENALTY on TB-27-Z.McCollum, Face Mask, 8 yards, enforced at TB 16.","Box Score"
"","1.16","GB","SF","20","2024-01-20","1","4:05","2","10","(4:05) (Shotgun) 10-J.Love pass incomplete short middle to 9-C.Watson. PENALTY on SF-31-T.Gipson, Defensive Pass Interference, 7 yards, enforced at GB 18 - No Play.","Box Score"
"","1.14","DET","TB","20","2024-01-21","1","10:34","2","6","(10:34) 5-D.Montgomery right end to TB 32 for 5 yards (52-K.Britt). PENALTY on TB-94-C.Kancey, Defensive Holding, 5 yards, enforced at TB 32.","Box Score"
"","1.13","KC","BUF","20","2024-01-21","4","9:31","3","6","(9:31) (Shotgun) 15-P.Mahomes pass incomplete short right to 4-R.Rice. PENALTY on BUF-42-D.Williams, Defensive Pass Interference, 3 yards, enforced at KC 47 - No Play.","Box Score"
"","0.98","BUF","KC","20","2024-01-21","3","7:54","2","9","(7:54) (Shotgun) 17-J.Allen pass short right to 14-S.Diggs to KC 47 for 3 yards (2-J.Williams). PENALTY on KC-22-T.McDuffie, Illegal Use of Hands, 5 yards, enforced at KC 47.","Box Score"
"","0.86","HOU","BAL","20","2024-01-20","3","9:27","2","9","(9:27) (Shotgun) 7-C.Stroud pass incomplete short right. PENALTY on BAL-21-B.Stephens, Defensive Holding, 5 yards, enforced at HOU 37 - No Play.","Box Score"
"","0.73","BAL","HOU","20","2024-01-20","2","5:54","3","11","(5:54) (Shotgun) PENALTY on HOU-25-D.King, Encroachment, 5 yards, enforced at BAL 21 - No Play.","Box Score"
"","0.59","TB","DET","20","2024-01-21","3","3:48","1","10","(3:48) (Shotgun) 83-D.Thompkins left end to TB 19 for -6 yards (1-C.Sutton). PENALTY on DET-32-B.Branch, Defensive Offside, 5 yards, enforced at TB 25 - No Play.","Box Score"
