"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","2.80","TB","PHI","19","2024-01-15","1","7:07","1","15","(7:07) (Shotgun) 6-B.Mayfield pass deep right to 19-D.Moore to TB 38 for 22 yards (31-K.Byard). PENALTY on PHI-52-Z.Cunningham, Face Mask, 15 yards, enforced at TB 38.","Box Score"
"","2.37","KC","MIA","19","2024-01-13","4","13:19","3","20","(13:19) (Shotgun) 15-P.Mahomes pass incomplete short right. PENALTY on MIA-94-C.Wilkins, Roughing the Passer, 13 yards, enforced at MIA 27 - No Play.","Box Score"
"","2.05","DET","LA","19","2024-01-14","1","3:48","2","7","(3:48) 16-J.Goff pass short right to 8-J.Reynolds to DET 38 for 10 yards (53-E.Jones; 44-A.Witherspoon). PENALTY on LA-31-N.Hampton, Roughing the Passer, 15 yards, enforced at DET 38.","Box Score"
"","1.88","KC","MIA","19","2024-01-13","3","2:24","2","13","(2:24) (Shotgun) 15-P.Mahomes pass incomplete deep middle to 12-M.Hardman. PENALTY on MIA-29-B.Jones, Roughing the Passer, 15 yards, enforced at KC 25 - No Play.","Box Score"
"","1.58","HOU","CLE","19","2024-01-13","2","2:30","3","5","(2:30) (Shotgun) 7-C.Stroud pass incomplete deep left to 86-D.Schultz [6-J.Owusu-Koramoah]. PENALTY on CLE-33-R.Hickman, Defensive Pass Interference, 12 yards, enforced at CLE 39 - No Play.","Box Score"
"","1.49","DAL","GB","19","2024-01-14","4","3:43","1","10","(3:43) (No Huddle, Shotgun) 20-T.Pollard up the middle to GB 29 for 4 yards (45-Er.Wilson, 96-C.Wooden). PENALTY on GB-93-T.Slaton, Unnecessary Roughness, 15 yards, enforced at GB 29.","Box Score"
"","1.34","BUF","PIT","19","2024-01-15","4","7:38","2","5","(7:38) (Shotgun) 17-J.Allen up the middle to PIT 33 for 2 yards (16-M.Jack). PENALTY on PIT-16-M.Jack, Unnecessary Roughness, 15 yards, enforced at PIT 33.","Box Score"
"","1.04","DAL","GB","19","2024-01-14","2","1:43","1","10","(1:43) (Shotgun) 4-D.Prescott pass short right to 20-T.Pollard pushed ob at DAL 48 for 3 yards (7-Q.Walker). PENALTY on GB-7-Q.Walker, Horse Collar Tackle, 15 yards, enforced at DAL 48.","Box Score"
"","0.93","GB","DAL","19","2024-01-14","1","14:22","2","10","(14:22) 10-J.Love sacked at GB 23 for -2 yards (sack split by 99-C.Golston and 6-D.Wilson). PENALTY on DAL-26-D.Bland, Illegal Contact, 5 yards, enforced at GB 25 - No Play.","Box Score"
"","0.73","DET","LA","19","2024-01-14","2","9:41","1","10","(9:41) PENALTY on LA-99-A.Donald, Neutral Zone Infraction, 6 yards, enforced at LA 11 - No Play.","Box Score"
"","0.65","GB","DAL","19","2024-01-14","1","7:30","3","5","(7:30) (Shotgun) PENALTY on DAL-90-D.Lawrence, Neutral Zone Infraction, 3 yards, enforced at DAL 6 - No Play.","Box Score"
