"Rank","Week","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","8.00","TB","BUF","8","2023-10-26","4","3:11","4","8","(3:11) (Shotgun) 6-B.Mayfield sacked at BUF 49 for -10 yards (97-J.Phillips). PENALTY on BUF-97-J.Phillips, Face Mask, 15 yards, enforced at BUF 39 - No Play.","Box Score"
"","8.00","WAS","PHI","8","2023-10-29","4","14:15","2","10","(14:15) (Shotgun) PENALTY on PHI-94-J.Sweat, Neutral Zone Infraction, 5 yards, enforced at PHI 20 - No Play.","Box Score"
"","8.00","PHI","WAS","8","2023-10-29","3","15:00","1","10","(15:00) (Shotgun) PENALTY on WAS-94-D.Payne, Neutral Zone Infraction, 5 yards, enforced at PHI 25 - No Play.","Box Score"
"","8.00","JAX","PIT","8","2023-10-29","4","2:17","3","14","(2:17) 73-B.Hance reported in as eligible.  PENALTY on PIT-99-L.Ogunjobi, Neutral Zone Infraction, 5 yards, enforced at PIT 44 - No Play.","Box Score"
"","8.00","TB","BUF","8","2023-10-26","1","13:31","2","10","(13:31) PENALTY on TB-78-T.Wirfs, False Start, 5 yards, enforced at TB 48 - No Play.","Box Score"
"","8.00","TB","BUF","8","2023-10-26","2","9:16","1","10","(9:16) (Shotgun) 1-R.White left guard pushed ob at BUF 14 for 26 yards (23-M.Hyde). PENALTY on TB-10-T.Palmer, Offensive Holding, 10 yards, enforced at BUF 33. Rush credited to BUF 33 (spot of foul).","Box Score"
"","8.00","TB","BUF","8","2023-10-26","2","8:49","1","13","(8:49) PENALTY on TB-67-L.Goedeke, False Start, 5 yards, enforced at BUF 43 - No Play.","Box Score"
"","8.00","TB","BUF","8","2023-10-26","2","0:47","2","4","(:47) (Shotgun) PENALTY on TB-67-L.Goedeke, False Start, 5 yards, enforced at BUF 42 - No Play.","Box Score"
"","8.00","BUF","TB","8","2023-10-26","3","1:02","3","10","(1:02) (Shotgun) PENALTY on TB-94-C.Kancey, Neutral Zone Infraction, 5 yards, enforced at BUF 38 - No Play.","Box Score"
"","8.00","BUF","TB","8","2023-10-26","4","14:12","4","4","(14:12) (Shotgun) PENALTY on BUF, Delay of Game, 5 yards, enforced at TB 42 - No Play.","Box Score"
"","8.00","TB","BUF","8","2023-10-26","4","10:05","1","10","(10:05) (Shotgun) PENALTY on TB-67-L.Goedeke, False Start, 4 yards, enforced at TB 8 - No Play.","Box Score"
"","8.00","MIA","NE","8","2023-10-29","2","1:01","1","10","(1:01) (Shotgun) 31-R.Mostert left end to NE 30 for -1 yards (29-J.Jackson; 99-K.White). MIA-70-K.Lamm was injured during the play. His return is Questionable.  PENALTY on MIA-81-D.Smythe, Offensive Holding, 10 yards, enforced at NE 29 - No Play.","Box Score"
"","8.00","MIA","NE","8","2023-10-29","2","6:22","3","6","(6:22) (Shotgun) 1-T.Tagovailoa pass incomplete short left to 10-T.Hill [3-M.Wilson]. PENALTY on NE-29-J.Jackson, Defensive Pass Interference, 5 yards, enforced at NE 6 - No Play.","Box Score"
"","8.00","MIA","NE","8","2023-10-29","2","13:35","1","10","(13:35) 31-R.Mostert right tackle to MIA 47 for no gain (93-L.Guy, 48-Ja.Tavai). PENALTY on NE-92-D.Godchaux, Defensive Holding, 5 yards, enforced at MIA 47 - No Play.","Box Score"
"","8.00","NE","MIA","8","2023-10-29","2","15:00","2","8","(15:00) 15-E.Elliott left end to NE 33 for 6 yards (5-J.Ramsey). FUMBLES (5-J.Ramsey), touched at NE 32, ball out of bounds at NE 28. PENALTY on NE-84-K.Bourne, Offensive Holding, 10 yards, enforced at NE 27 - No Play.","Box Score"
"","8.00","GB","MIN","8","2023-10-29","4","2:22","1","10","(2:22) (Shotgun) PENALTY on GB-63-R.Walker, False Start, 5 yards, enforced at MIN 46 - No Play.","Box Score"
"","8.00","MIN","GB","8","2023-10-29","4","15:00","3","11","(15:00) (Shotgun) 8-K.Cousins pass short left to 30-C.Ham to MIN 30 for 2 yards (59-D.Campbell). PENALTY on GB-52-R.Gary, Roughing the Passer, 15 yards, enforced at MIN 30.","Box Score"
"","8.00","GB","MIN","8","2023-10-29","3","3:57","3","6","(3:57) (Shotgun) 10-J.Love pass incomplete short left to 11-J.Reed. PENALTY on MIN-21-A.Evans, Defensive Pass Interference, 6 yards, enforced at MIN 7 - No Play.","Box Score"
"","8.00","GB","MIN","8","2023-10-29","2","2:35","1","10","(2:35) (No Huddle) 10-J.Love pass short left to 87-R.Doubs ran ob at MIN 44 for 11 yards. Minnesota challenged the pass completion ruling, and the play was REVERSED. (No Huddle) 10-J.Love pass incomplete short left to 87-R.Doubs. PENALTY on MIN, Defensive Too Many Men on Field, 5 yards, enforced at GB 45 - No Play.","Box Score"
"","8.00","GB","MIN","8","2023-10-29","1","0:26","3","17","(:26) (Shotgun) PENALTY on GB, Delay of Game, 5 yards, enforced at GB 21 - No Play.","Box Score"
"","8.00","MIN","GB","8","2023-10-29","1","2:39","1","4","(2:39) (Shotgun) PENALTY on MIN, Delay of Game, 5 yards, enforced at GB 4 - No Play.","Box Score"
"","8.00","NO","IND","8","2023-10-29","2","11:02","2","2","(11:02) PENALTY on NO-75-A.Peat, False Start, 5 yards, enforced at NO 33 - No Play.","Box Score"
"","8.00","MIN","GB","8","2023-10-29","1","4:58","1","10","(4:58) (No Huddle, Shotgun) 8-K.Cousins pass deep right to 3-J.Addison to GB 41 for 25 yards (20-R.Ford, 34-J.Owens). PENALTY on GB-34-J.Owens, Unnecessary Roughness, 15 yards, enforced at GB 41. Green Bay challenged the pass completion ruling, and the play was REVERSED. (No Huddle, Shotgun) 8-K.Cousins pass incomplete deep right to 3-J.Addison (34-J.Owens). PENALTY on GB-34-J.Owens, Unnecessary Roughness, 15 yards, enforced at MIN 34 - No Play.","Box Score"
"","8.00","LA","DAL","8","2023-10-29","4","6:12","3","5","(6:12) (Shotgun) PENALTY on LA, Delay of Game, 5 yards, enforced at DAL 22 - No Play.","Box Score"
"","8.00","DAL","LA","8","2023-10-29","3","3:40","2","10","(3:40) (Shotgun) 4-D.Prescott pass incomplete short left to 23-R.Dowdle. PENALTY on LA-1-D.Kendrick, Defensive Pass Interference, 4 yards, enforced at LA 19 - No Play.","Box Score"
"","8.00","LA","DAL","8","2023-10-29","2","1:54","2","10","(1:54) (Shotgun) 9-M.Stafford pass short right to 17-P.Nacua pushed ob at DAL 47 for 14 yards (6-D.Wilson). PENALTY on LA-73-S.Avila, Offensive Holding, 10 yards, enforced at LA 39 - No Play.","Box Score"
"","8.00","DEN","KC","8","2023-10-29","4","0:34","4","15","(:34) (Field Goal formation) PENALTY on KC-20-J.Reid, Neutral Zone Infraction, 5 yards, enforced at KC 15 - No Play.","Box Score"
"","8.00","KC","DEN","8","2023-10-29","3","3:42","2","7","(3:42) PENALTY on KC, Offensive Too Many Men on Field, 5 yards, enforced at DEN 44 - No Play.","Box Score"
"","8.00","IND","NO","8","2023-10-29","1","2:25","1","10","(2:25) 10-G.Minshew pass incomplete deep left to 14-A.Pierce. PENALTY on NO-23-M.Lattimore, Defensive Pass Interference, 28 yards, enforced at IND 40 - No Play. Penalty on NO-23-M.Lattimore, Defensive Holding, declined.","Box Score"
"","8.00","DEN","KC","8","2023-10-29","3","9:04","1","10","(9:04) 38-J.McLaughlin left end to KC 13 for 1 yard (22-T.McDuffie; 51-M.Danna). PENALTY on DEN, Illegal Formation, 5 yards, enforced at KC 14 - No Play.","Box Score"
"","8.00","KC","DEN","8","2023-10-29","2","13:35","1","10","(13:35) (Shotgun) 15-P.Mahomes sacked at KC 31 for -7 yards (93-D.Jones). PENALTY on DEN-47-J.Jewell, Defensive Holding, 5 yards, enforced at KC 38 - No Play.","Box Score"
"","8.00","PIT","JAX","8","2023-10-29","4","1:10","1","10","(1:10) (No Huddle, Shotgun) 10-M.Trubisky pass short middle to 18-D.Johnson to PIT 31 for 10 yards (2-R.Jenkins). PENALTY on PIT-18-D.Johnson, Illegal Motion, 5 yards, enforced at PIT 21 - No Play.","Box Score"
"","8.00","PIT","JAX","8","2023-10-29","2","0:06","3","10","(:06) 9-C.Boswell 55 yard field goal is GOOD, NULLIFIED by Penalty, Center-46-C.Kuntz, Holder-6-P.Harvin. PENALTY on PIT-73-I.Seumalo, Offensive Offside, 5 yards, enforced at JAX 38 - No Play.","Box Score"
"","8.00","CAR","HOU","8","2023-10-29","4","0:03","1","10","(:03) (Field Goal formation) PENALTY on HOU-4-T.Thomas, Unsportsmanlike Conduct, 5 yards, enforced at HOU 10 - No Play.","Box Score"
"","8.00","CAR","HOU","8","2023-10-29","4","0:03","4","11","(:03) (Field Goal formation) PENALTY on HOU-4-T.Thomas, Unnecessary Roughness, 10 yards, enforced at HOU 20 - No Play. Penalty on HOU-4-T.Thomas, Defensive Offside, declined.","Box Score"
"","8.00","CAR","HOU","8","2023-10-29","4","5:40","1","5","(5:40) (Shotgun) 9-B.Young pass incomplete short right to 15-J.Mingo. PENALTY on HOU-0-S.Griffin, Defensive Pass Interference, 8 yards, enforced at CAR 26 - No Play.","Box Score"
"","8.00","CAR","HOU","8","2023-10-29","4","5:44","1","10","(5:44) (No Huddle, Shotgun) 9-B.Young pass incomplete short left to 30-C.Hubbard (52-J.Greenard). PENALTY on HOU-51-W.Anderson, Defensive Offside, 5 yards, enforced at CAR 21 - No Play.","Box Score"
"","8.00","CAR","HOU","8","2023-10-29","2","2:00","1","4","(2:00) (Shotgun) 30-C.Hubbard right tackle to HOU 2 for 2 yards (53-B.Cashman, 39-H.To'oTo'o). PENALTY on CAR-56-B.Bozeman, Offensive Holding, 10 yards, enforced at HOU 4 - No Play.","Box Score"
"","8.00","CAR","HOU","8","2023-10-29","2","2:01","2","1","(2:01) PENALTY on HOU-93-K.Hinish, Encroachment, 5 yards, enforced at HOU 9 - No Play.","Box Score"
"","8.00","CAR","HOU","8","2023-10-29","2","4:40","3","10","(4:40) (Shotgun) 9-B.Young sacked at CAR 30 for -10 yards (sack split by 51-W.Anderson and 5-J.Pitre). PENALTY on HOU-20-K.Hollman, Defensive Holding, 5 yards, enforced at CAR 40 - No Play.","Box Score"
"","8.00","CAR","HOU","8","2023-10-29","2","12:25","2","9","(12:25) (Shotgun) 9-B.Young sacked at CAR 29 for -6 yards (52-J.Greenard). FUMBLES (52-J.Greenard) [52-J.Greenard], recovered by CAR-30-C.Hubbard at CAR 32. PENALTY on HOU-52-J.Greenard, Face Mask, 15 yards, enforced at CAR 35 - No Play.","Box Score"
"","8.00","CAR","HOU","8","2023-10-29","1","13:04","2","18","(13:04) (Shotgun) 30-C.Hubbard left end pushed ob at CAR 17 for 15 yards (5-J.Pitre). PENALTY on CAR-82-T.Tremble, Offensive Holding, 1 yard, enforced at CAR 2 - No Play.","Box Score"
"","8.00","CLE","SEA","8","2023-10-29","4","3:34","3","3","(3:34) (Shotgun) 10-P.Walker pass incomplete deep right to 2-A.Cooper. PENALTY on SEA-27-T.Woolen, Illegal Use of Hands, 5 yards, enforced at CLE 29 - No Play.","Box Score"
"","8.00","CLE","SEA","8","2023-10-29","3","0:48","2","18","(:48) (Shotgun) 10-P.Walker pass incomplete short middle to 8-E.Moore (22-T.Brown). PENALTY on SEA-21-D.Witherspoon, Illegal Use of Hands, 5 yards, enforced at CLE 12 - No Play.","Box Score"
"","8.00","CLE","SEA","8","2023-10-29","3","1:22","1","10","(1:22) (Shotgun) 10-P.Walker pass short left to 34-J.Ford to CLE 27 for 7 yards (97-M.Edwards, 33-J.Adams). PENALTY on CLE-75-J.Bitonio, Offensive Holding, 10 yards, enforced at CLE 22.","Box Score"
"","8.00","CLE","SEA","8","2023-10-29","2","6:35","4","2","(6:35) (Shotgun) 10-P.Walker pass incomplete short left to 2-A.Cooper. PENALTY on SEA-27-T.Woolen, Defensive Pass Interference, 6 yards, enforced at SEA 43 - No Play.","Box Score"
"","8.00","SF","CIN","8","2023-10-29","4","1:59","2","16","(1:59) (Shotgun) 13-B.Purdy pass short middle INTERCEPTED by 23-D.Hill at CIN 32. 23-D.Hill to CIN 45 for 13 yards (74-S.Burford). PENALTY on CIN-98-D.Reader, Roughing the Passer, 15 yards, enforced at CIN 41 - No Play.","Box Score"
"","8.00","SF","CIN","8","2023-10-29","3","11:09","1","10","(11:09) 23-C.McCaffrey right end to SF 34 for 9 yards (57-G.Pratt; 92-B.Hill). PENALTY on SF-74-S.Burford, Offensive Holding, 10 yards, enforced at SF 25 - No Play.","Box Score"
"","8.00","CIN","SF","8","2023-10-29","2","12:18","3","2","(12:18) (Shotgun) 9-J.Burrow pass short right to 1-J.Chase to CIN 35 for 7 yards (7-C.Ward; 31-T.Gipson). PENALTY on SF-26-I.Oliver, Lowering the Head to Make Forcible Contact, 15 yards, enforced at CIN 35.","Box Score"
"","8.00","LAC","CHI","8","2023-10-29","3","11:54","3","1","(11:54) (Shotgun) PENALTY on LAC-89-D.Parham, False Start, 5 yards, enforced at LAC 47 - No Play.","Box Score"
"","8.00","LV","DET","8","2023-10-30","4","9:49","2","10","(9:49) (Shotgun) 10-J.Garoppolo pass incomplete short middle to 13-H.Renfrow. PENALTY on DET-46-J.Campbell, Roughing the Passer, 15 yards, enforced at LV 2 - No Play.","Box Score"
"","8.00","LAC","CHI","8","2023-10-29","3","12:37","2","11","(12:37) (Shotgun) 76-W.Clapp to LAC 32 for -5 yards. FUMBLES, recovered by LAC-10-J.Herbert at LAC 25. 10-J.Herbert sacked ob at LAC 27 for -10 yards (94-R.Green). PENALTY on CHI-97-A.Billings, Defensive Offside, 5 yards, enforced at LAC 37 - No Play.","Box Score"
"","8.00","CHI","LAC","8","2023-10-29","2","4:28","1","10","(4:28) 21-D.Foreman left end to LAC 25 for 5 yards (26-A.Samuel; 6-E.Kendricks). PENALTY on CHI, Illegal Shift, 5 yards, enforced at LAC 30 - No Play.","Box Score"
"","8.00","CHI","LAC","8","2023-10-29","1","6:32","2","6","(6:32) (Shotgun) Direct snap to 21-D.Foreman.  21-D.Foreman right end to CHI 46 for 17 yards (3-D.James). PENALTY on CHI-62-L.Patrick, Illegal Use of Hands, 10 yards, enforced at CHI 29 - No Play.","Box Score"
"","8.00","BAL","ARI","8","2023-10-29","4","5:38","2","13","(5:38) (Shotgun) 7-R.Bateman left end pushed ob at ARI 48 for 18 yards (20-Ma.Wilson). PENALTY on ARI-34-J.Thompson, Unnecessary Roughness, 15 yards, enforced at ARI 48.","Box Score"
"","8.00","DET","LV","8","2023-10-30","4","11:22","4","1","(11:22) 16-J.Goff up the middle to LV 40 for 2 yards (69-A.Butler). PENALTY on LV-98-M.Crosby, Defensive Offside, 6 yards, enforced at LV 42 - No Play.","Box Score"
"","8.00","ARI","BAL","8","2023-10-29","4","0:29","2","10","(:29) (Field Goal formation) PENALTY on ARI-95-L.Fotu, False Start, 5 yards, enforced at BAL 24 - No Play.","Box Score"
"","8.00","BAL","ARI","8","2023-10-29","2","7:40","4","3","(7:40) (Punt formation) PENALTY on BAL-40-M.Harrison, False Start, 5 yards, enforced at BAL 43 - No Play.","Box Score"
"","8.00","BAL","ARI","8","2023-10-29","1","8:05","1","10","(8:05) (Shotgun) 8-L.Jackson pass short left to 43-J.Hill pushed ob at BAL 28 for 3 yards (45-D.Gardeck). PENALTY on BAL-80-I.Likely, Offensive Pass Interference, 10 yards, enforced at BAL 25 - No Play.","Box Score"
"","8.00","ARI","BAL","8","2023-10-29","1","8:42","3","4","(8:42) (Shotgun) 9-J.Dobbs pass incomplete deep right to 2-M.Brown [99-O.Oweh]. PENALTY on BAL-44-M.Humphrey, Defensive Pass Interference, 18 yards, enforced at BAL 19 - No Play.","Box Score"
"","8.00","ARI","BAL","8","2023-10-29","1","13:57","3","4","(13:57) (Shotgun) 9-J.Dobbs sacked at ARI 23 for -8 yards (92-J.Madubuike). PENALTY on BAL-14-K.Hamilton, Illegal Contact, 5 yards, enforced at ARI 31 - No Play.","Box Score"
"","8.00","ATL","TEN","8","2023-10-29","4","3:54","1","10","(3:54) (Shotgun) 4-T.Heinicke sacked at TEN 25 for -8 yards (58-H.Landry). PENALTY on TEN-58-H.Landry, Roughing the Passer, 9 yards, enforced at TEN 17 - No Play.","Box Score"
"","8.00","NE","MIA","8","2023-10-29","4","2:00","4","14","(2:00) (Shotgun) 10-M.Jones pass incomplete deep middle to 81-D.Douglas (29-B.Jones) [92-Z.Sieler]. MIA-29-B.Jones was injured during the play. His return is Questionable.  PENALTY on NE-7-J.Smith-Schuster, Unsportsmanlike Conduct, 10 yards, enforced at NE 21.","Box Score"
"","8.00","TEN","ATL","8","2023-10-29","4","8:06","2","6","(8:06) (Shotgun) 22-D.Henry right tackle to ATL 37 for 5 yards (96-Z.Harrison; 53-N.Landman). PENALTY on ATL-90-D.Onyemata, Defensive Holding, 5 yards, enforced at ATL 37.","Box Score"
