"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","4.01","DAL","SF","19","2022-01-16","3","12:34","4","20","(12:34) 5-B.Anger punts 56 yards to SF 29, Center-44-J.McQuaide. 17-T.Benjamin pushed ob at SF 33 for 4 yards (29-C.Goodwin). PENALTY on SF-53-M.Nzeocha, Roughing the Kicker, 15 yards, enforced at DAL 15 - No Play.","Box Score"
"","3.23","LV","CIN","19","2022-01-15","3","1:21","4","3","(1:21) (Shotgun) 4-D.Carr pass incomplete deep right to 87-F.Moreau. PENALTY on CIN-29-V.Hargreaves, Defensive Pass Interference, 11 yards, enforced at CIN 36 - No Play.","Box Score"
"","3.18","KC","PIT","19","2022-01-16","2","2:00","3","7","(2:00) (Shotgun) 15-P.Mahomes pass short right to 13-B.Pringle for 12 yards, TOUCHDOWN. PENALTY on PIT-56-A.Highsmith, Roughing the Passer, 15 yards, enforced between downs.","Box Score"
"","3.17","NE","BUF","19","2022-01-15","4","5:19","4","2","(5:19) (Shotgun) 10-M.Jones pass short right to 16-J.Meyers to NE 49 for 3 yards (46-Jaq.Johnson, 47-C.Lewis). PENALTY on BUF-57-A.Epenesa, Roughing the Passer, 15 yards, enforced at NE 49.","Box Score"
"","2.56","ARI","LA","19","2022-01-17","3","5:07","2","8","(5:07) (No Huddle, Shotgun) 1-K.Murray pass deep middle to 13-C.Kirk to LA 14 for 23 yards (26-T.Burgess). PENALTY on LA-99-A.Donald, Unnecessary Roughness, 7 yards, enforced at LA 14.","Box Score"
"","2.42","NE","BUF","19","2022-01-15","2","6:26","3","6","(6:26) (Shotgun) 10-M.Jones pass incomplete deep left to 15-N.Agholor. PENALTY on BUF-39-L.Wallace, Defensive Pass Interference, 22 yards, enforced at NE 25 - No Play.","Box Score"
"","2.27","LV","CIN","19","2022-01-15","2","0:46","3","10","(:46) (Shotgun) 4-D.Carr scrambles left end ran ob at CIN 34 for 20 yards (55-L.Wilson). PENALTY on CIN-20-E.Apple, Defensive Holding, 5 yards, enforced at CIN 34.","Box Score"
"","1.86","SF","DAL","19","2022-01-16","4","4:36","3","12","(4:36) (Shotgun) 10-J.Garoppolo pass incomplete short middle to 19-D.Samuel (7-T.Diggs). PENALTY on DAL-96-N.Gallimore, Illegal Use of Hands, 5 yards, enforced at SF 37 - No Play.","Box Score"
"","1.75","LA","ARI","19","2022-01-17","3","12:20","3","8","(12:20) (No Huddle, Shotgun) 9-M.Stafford pass incomplete deep left to 10-C.Kupp (7-B.Murphy) [45-D.Gardeck]. PENALTY on ARI-7-B.Murphy, Defensive Holding, 5 yards, enforced at LA 44 - No Play.","Box Score"
"","1.74","PIT","KC","19","2022-01-16","4","11:28","2","20","(11:28) (Shotgun) 7-B.Roethlisberger pass short left intended for 14-R.McCloud INTERCEPTED by 38-L.Sneed at PIT 44. 38-L.Sneed to PIT 44 for no gain (14-R.McCloud). PENALTY on KC-97-A.Okafor, Roughing the Passer, 15 yards, enforced at PIT 32 - No Play.","Box Score"
"","1.57","LV","CIN","19","2022-01-15","4","1:51","1","10","(1:51) (Shotgun) 4-D.Carr pass short left to 28-J.Jacobs pushed ob at 50 for 15 yards (33-T.Flowers). PENALTY on CIN-90-K.Kareem, Roughing the Passer, 15 yards, enforced at 50.","Box Score"
"","1.50","SF","DAL","19","2022-01-16","1","1:13","3","5","(1:13) (Shotgun) PENALTY on DAL-94-R.Gregory, Neutral Zone Infraction, 5 yards, enforced at SF 27 - No Play.","Box Score"
"","1.28","TB","PHI","19","2022-01-16","1","14:28","2","10","(14:28) (No Huddle, Shotgun) 12-T.Brady pass incomplete short right to 16-B.Perriman. PENALTY on PHI-96-D.Barnett, Roughing the Passer, 15 yards, enforced at TB 42 - No Play.","Box Score"
"","1.15","KC","PIT","19","2022-01-16","2","11:13","1","10","(11:13) 40-D.Gore right end to KC 16 for 2 yards (41-R.Spillane). PENALTY on PIT-90-T.Watt, Face Mask (15 Yards), 15 yards, enforced at KC 16.","Box Score"
"","1.09","BUF","NE","19","2022-01-15","2","9:56","2","2","(9:56) 26-D.Singletary right guard to NE 32 for 2 yards (54-D.Hightower). PENALTY on NE-95-D.Ekuale, Face Mask (15 Yards), 15 yards, enforced at NE 32.","Box Score"
"","0.97","LV","CIN","19","2022-01-15","4","5:54","2","12","(5:54) (Shotgun) 4-D.Carr pass short right to 28-J.Jacobs to LV 20 for -1 yards (55-L.Wilson) [94-S.Hubbard]. PENALTY on CIN-22-C.Awuzie, Defensive Holding, 5 yards, enforced at LV 21 - No Play.","Box Score"
"","0.80","LA","ARI","19","2022-01-17","4","8:06","3","8","(8:06) (Shotgun) PENALTY on ARI-55-C.Jones, Neutral Zone Infraction, 5 yards, enforced at LA 13 - No Play.","Box Score"
"","0.77","SF","DAL","19","2022-01-16","4","1:38","2","9","(1:38) (Shotgun) 19-D.Samuel left end to SF 48 for no gain (27-J.Kearse). PENALTY on DAL-94-R.Gregory, Defensive Holding, 5 yards, enforced at SF 48 - No Play.","Box Score"
"","0.68","SF","DAL","19","2022-01-16","3","9:33","2","10","(9:33) (Shotgun) PENALTY on DAL-11-M.Parsons, Neutral Zone Infraction, 5 yards, enforced at SF 7 - No Play.","Box Score"
