"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Yard Line (Distance from Off. EZ)","Box Scores"
"","2.00","KC","BUF","20","2022-01-23","2","2:37","3","11","(2:37) (Shotgun) 15-P.Mahomes sacked at BUF 17 for -6 yards (58-M.Milano). PENALTY on BUF-30-D.Jackson, Defensive Holding, 5 yards, enforced at BUF 11 - No Play.","11.00","Box Score"
"","0.22","GB","SF","20","2022-01-22","3","0:33","1","10","(:33) 12-A.Rodgers pass incomplete short right to 17-D.Adams. PENALTY on SF-92-C.Omenihu, Defensive Holding, 5 yards, enforced at SF 24 - No Play.","24.00","Box Score"
"","-0.41","SF","GB","20","2022-01-22","3","10:04","2","14","(10:04) (Shotgun) 10-J.Garoppolo pass short left to 15-J.Jennings pushed ob at GB 12 for 9 yards (29-R.Douglas). PENALTY on SF, Illegal Formation, 5 yards, enforced at GB 21 - No Play.","21.00","Box Score"
"","-0.43","CIN","TEN","20","2022-01-22","2","1:47","3","9","(1:47) (Shotgun) PENALTY on CIN-75-I.Prince, False Start, 5 yards, enforced at TEN 19 - No Play.","19.00","Box Score"
"","-0.73","GB","SF","20","2022-01-22","4","12:52","2","5","(12:52) PENALTY on GB-79-D.Kelly, False Start, 5 yards, enforced at SF 5 - No Play.","5.00","Box Score"
"","-0.84","CIN","TEN","20","2022-01-22","1","12:52","3","9","(12:52) (Shotgun) PENALTY on CIN, Delay of Game, 5 yards, enforced at TEN 23 - No Play.","23.00","Box Score"
"","-1.02","SF","GB","20","2022-01-22","2","1:09","1","9","(1:09) 25-E.Mitchell left guard to GB 4 for 5 yards (91-P.Smith). PENALTY on SF-71-T.Williams, Offensive Holding, 10 yards, enforced at GB 9 - No Play.","9.00","Box Score"
"","-1.03","KC","BUF","20","2022-01-23","3","8:06","3","8","(8:06) (Shotgun) 15-P.Mahomes scrambles right end to BUF 9 for 9 yards (21-J.Poyer). PENALTY on KC-77-A.Wylie, Offensive Holding, 10 yards, enforced at BUF 18 - No Play.","18.00","Box Score"
"","-1.24","SF","GB","20","2022-01-22","3","10:37","2","5","(10:37) (Shotgun) 25-E.Mitchell right end pushed ob at GB 3 for 9 yards (21-E.Stokes). PENALTY on SF-25-E.Mitchell, Face Mask (15 Yards), 15 yards, enforced at GB 6.","12.00","Box Score"
"","-5.99","TEN","CIN","20","2022-01-22","3","6:48","1","9","(6:48) (Shotgun) 17-R.Tannehill pass short right intended for 80-C.Rogers INTERCEPTED by 21-M.Hilton at CIN 20. 21-M.Hilton to CIN 39 for 19 yards (17-R.Tannehill). PENALTY on CIN-20-E.Apple, Taunting, 15 yards, enforced at CIN 39.","9.00","Box Score"
