"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Yard Line (Distance from Off. EZ)","Box Scores"
"","3.70","MIN","SEA","3","2021-09-26","2","5:32","3","13","(5:32) (Shotgun) 8-K.Cousins pass short right to 19-A.Thielen for 15 yards, TOUCHDOWN. PENALTY on SEA-6-Q.Diggs, Unnecessary Roughness, 15 yards, enforced between downs.","15.00","Box Score"
"","3.53","PIT","LAC","11","2021-11-21","4","11:43","4","5","(11:43) (Shotgun) 7-B.Roethlisberger pass short middle intended for 11-C.Claypool INTERCEPTED by 24-N.Adderley at LAC -3. Touchback. PENALTY on LAC-20-T.Campbell, Defensive Pass Interference, 4 yards, enforced at LAC 5 - No Play.","5.00","Box Score"
"","3.46","BUF","ATL","17","2022-01-02","1","3:29","4","3","(3:29) (Shotgun) 17-J.Allen pass incomplete short right to 14-S.Diggs. PENALTY on ATL-24-A.Terrell, Defensive Pass Interference, 2 yards, enforced at ATL 3 - No Play.","3.00","Box Score"
"","3.42","PIT","DEN","5","2021-10-10","2","3:03","3","15","(3:03) (Shotgun) 7-B.Roethlisberger pass incomplete deep right to 18-D.Johnson. PENALTY on DEN-23-K.Fuller, Defensive Pass Interference, 17 yards, enforced at DEN 18 - No Play.","18.00","Box Score"
"","3.26","LA","HOU","8","2021-10-31","2","6:19","4","3","(6:19) 9-M.Stafford pass incomplete short middle to 12-V.Jefferson (26-V.Hargreaves) [52-J.Greenard]. PENALTY on HOU-26-V.Hargreaves, Defensive Holding, 3 yards, enforced at HOU 5 - No Play.","5.00","Box Score"
"","3.24","IND","ARI","16","2021-12-25","4","6:45","3","9","(6:45) (Shotgun) 2-C.Wentz pass short left to 10-D.Patmon for 14 yards, TOUCHDOWN. PENALTY on ARI-94-Z.Allen, Roughing the Passer, 8 yards, enforced between downs.","14.00","Box Score"
"","3.24","MIN","BAL","9","2021-11-07","2","13:41","4","2","(13:41) 8-K.Cousins pass incomplete short middle to 83-T.Conklin. PENALTY on BAL-49-C.Board, Defensive Pass Interference, 1 yard, enforced at BAL 2 - No Play.","2.00","Box Score"
"","3.20","GB","MIN","11","2021-11-21","4","7:55","3","6","(7:55) (Shotgun) 12-A.Rodgers pass deep left to 17-D.Adams for 18 yards, TOUCHDOWN. PENALTY on MIN-97-E.Griffen, Roughing the Passer, 15 yards, enforced between downs.","18.00","Box Score"
"","3.12","CLE","MIN","4","2021-10-03","2","1:33","4","2","(1:33) (Shotgun) 6-B.Mayfield pass incomplete short right to 85-D.Njoku. PENALTY on MIN-54-E.Kendricks, Defensive Holding, 1 yard, enforced at MIN 2 - No Play.","2.00","Box Score"
"","2.99","DEN","NYJ","3","2021-09-26","2","1:06","3","10","(1:06) (Shotgun) 5-T.Bridgewater pass incomplete deep left to 14-C.Sutton (26-B.Echols). PENALTY on NYJ-26-B.Echols, Defensive Pass Interference, 19 yards, enforced at NYJ 20 - No Play.","20.00","Box Score"
"","2.78","IND","SF","7","2021-10-24","2","2:00","2","12","(2:00) (Shotgun) 2-C.Wentz pass incomplete deep right to 11-M.Pittman. PENALTY on SF-4-E.Moseley, Defensive Pass Interference, 19 yards, enforced at SF 20 - No Play.","20.00","Box Score"
"","2.77","NYJ","HOU","12","2021-11-28","3","8:26","4","8","(8:26) 6-M.Ammendola 34 yard field goal is GOOD, NULLIFIED by Penalty, Center-42-T.Hennessy, Holder-7-B.Mann. PENALTY on HOU-90-R.Blacklock, Leverage, 8 yards, enforced at HOU 16 - No Play.","16.00","Box Score"
"","2.72","DAL","WAS","14","2021-12-12","1","3:45","3","5","(3:45) (Shotgun) 4-D.Prescott pass short middle to 19-A.Cooper for 7 yards, TOUCHDOWN. PENALTY on WAS-98-M.Ioannidis, Roughing the Passer, 1 yard, enforced between downs.","7.00","Box Score"
"","2.69","ARI","SEA","11","2021-11-21","1","3:28","3","8","(3:28) (Shotgun) 12-C.McCoy pass incomplete short right to 18-A.Green [94-R.Green]. PENALTY on SEA-22-T.Brown, Defensive Pass Interference, 14 yards, enforced at SEA 16 - No Play.","16.00","Box Score"
"","2.68","TEN","NO","10","2021-11-14","2","1:44","3","6","(1:44) (Shotgun) 17-R.Tannehill pass incomplete short middle to 86-A.Firkser. PENALTY on NO-56-D.Davis, Defensive Pass Interference, 5 yards, enforced at NO 6 - No Play.","6.00","Box Score"
"","2.58","TB","IND","12","2021-11-28","3","1:15","3","8","(1:15) (Shotgun) 12-T.Brady pass incomplete short left to 84-C.Brate [57-K.Turay]. PENALTY on IND-38-T.Carrie, Defensive Pass Interference, 9 yards, enforced at IND 10 - No Play.","10.00","Box Score"
"","2.53","MIN","DET","13","2021-12-05","4","12:02","3","5","(12:02) (Shotgun) 8-K.Cousins pass short middle to 17-K.Osborn for 5 yards, TOUCHDOWN. PENALTY on DET-53-C.Harris, Roughing the Passer, 1 yard, enforced between downs.","5.00","Box Score"
"","2.52","DEN","DAL","9","2021-11-07","1","2:36","3","9","(2:36) (Shotgun) 5-T.Bridgewater pass incomplete short middle to 14-C.Sutton. PENALTY on DAL-7-T.Diggs, Defensive Pass Interference, 8 yards, enforced at DAL 9 - No Play.","9.00","Box Score"
"","2.50","NYJ","BUF","10","2021-11-14","4","13:06","4","10","(13:06) (Shotgun) 5-M.White sacked at BUF 20 for 0 yards (58-M.Milano). PENALTY on BUF-24-T.Johnson, Defensive Holding, 5 yards, enforced at BUF 20 - No Play.","20.00","Box Score"
"","2.45","NE","NYJ","2","2021-09-19","4","3:19","3","7","(3:19) 37-D.Harris right guard to NYJ 10 for 12 yards (20-M.Maye). PENALTY on NYJ-20-M.Maye, Horse Collar Tackle, 5 yards, enforced at NYJ 10.","22.00","Box Score"
"","2.41","PIT","MIN","14","2021-12-09","4","14:55","3","8","(14:55) (Shotgun) 7-B.Roethlisberger pass incomplete short left to 18-D.Johnson. PENALTY on MIN-27-C.Dantzler, Defensive Pass Interference, 7 yards, enforced at MIN 8 - No Play.","8.00","Box Score"
"","2.36","PIT","GB","4","2021-10-03","4","4:15","3","6","(4:15) (Shotgun) 7-B.Roethlisberger pass incomplete short left to 18-D.Johnson. PENALTY on GB-21-E.Stokes, Defensive Pass Interference, 5 yards, enforced at GB 6 - No Play.","6.00","Box Score"
"","2.34","ATL","NYG","3","2021-09-26","4","5:01","3","6","(5:01) (Shotgun) 2-M.Ryan pass incomplete short middle to 8-K.Pitts (23-L.Ryan). PENALTY on NYG-23-L.Ryan, Defensive Pass Interference, 5 yards, enforced at NYG 6 - No Play.","6.00","Box Score"
"","2.27","DEN","LAC","17","2022-01-02","3","1:40","3","12","(1:40) (Shotgun) 3-D.Lock pass incomplete deep right to 19-S.Williams. PENALTY on LAC-33-D.James, Roughing the Passer, 11 yards, enforced at LAC 19 - No Play. Penalty on LAC-33-D.James, Defensive Offside, declined.","19.00","Box Score"
"","2.25","SF","MIN","12","2021-11-28","1","5:39","1","10","(5:39) (Shotgun) 19-D.Samuel right end for 20 yards, TOUCHDOWN. PENALTY on MIN-22-H.Smith, Unnecessary Roughness, 15 yards, enforced between downs.","20.00","Box Score"
"","2.25","SEA","JAX","8","2021-10-31","2","9:31","1","10","(9:31) (Shotgun) 7-G.Smith pass deep right to 14-D.Metcalf for 16 yards, TOUCHDOWN. PENALTY on SEA-14-D.Metcalf, Unsportsmanlike Conduct, 15 yards, enforced between downs.","16.00","Box Score"
"","2.22","JAX","BUF","9","2021-11-07","4","13:29","4","1","(13:29) 16-T.Lawrence up the middle to BUF 8 for 3 yards (98-S.Lotulelei). PENALTY on BUF-39-L.Wallace, Taunting, 4 yards, enforced at BUF 8.","11.00","Box Score"
"","2.20","PHI","SF","2","2021-09-19","2","5:59","2","11","(5:59) (Shotgun) 1-J.Hurts pass incomplete short left to 6-D.Smith. PENALTY on SF-26-J.Norman, Defensive Pass Interference, 10 yards, enforced at SF 11 - No Play.","11.00","Box Score"
"","2.18","SEA","IND","1","2021-09-12","2","11:27","2","6","(11:27) (Shotgun) 3-R.Wilson pass short middle to 81-G.Everett for 9 yards, TOUCHDOWN [90-G.Stewart]. PENALTY on SEA-14-D.Metcalf, Taunting, 15 yards, enforced between downs.","9.00","Box Score"
"","2.17","LAC","KC","3","2021-09-26","4","3:23","3","5","(3:23) (Shotgun) 10-J.Herbert pass incomplete short right to 13-K.Allen [32-T.Mathieu]. PENALTY on KC-38-L.Sneed, Defensive Pass Interference, 4 yards, enforced at KC 5 - No Play.","5.00","Box Score"
"","2.16","IND","MIA","4","2021-10-03","4","7:01","3","13","(7:01) (Shotgun) 2-C.Wentz sacked at MIA 19 for -6 yards (91-E.Ogbah). PENALTY on MIA-15-J.Phillips, Face Mask (15 Yards), 7 yards, enforced at MIA 13 - No Play.","13.00","Box Score"
"","2.14","WAS","ATL","4","2021-10-03","2","2:41","1","10","(2:41) (Shotgun) 4-T.Heinicke scrambles right end pushed ob at ATL 4 for 20 yards (23-E.Harris). PENALTY on ATL-22-F.Moreau, Defensive Holding, 2 yards, enforced at ATL 4.","24.00","Box Score"
"","2.14","CIN","DET","6","2021-10-17","4","5:26","3","11","(5:26) (Shotgun) 8-B.Allen pass incomplete short left to 19-A.Tate. PENALTY on DET-24-A.Oruwariye, Defensive Pass Interference, 11 yards, enforced at DET 18 - No Play.","18.00","Box Score"
"","2.11","LV","KC","10","2021-11-14","2","13:47","3","6","(13:47) (Shotgun) 4-D.Carr pass incomplete deep left to 89-B.Edwards. PENALTY on KC-27-R.Fenton, Defensive Pass Interference, 14 yards, enforced at KC 19 - No Play.","19.00","Box Score"
"","2.05","GB","DET","2","2021-09-20","4","12:48","3","5","(12:48) (Shotgun) 12-Aa.Rodgers pass incomplete short left to 17-D.Adams. PENALTY on DET-24-A.Oruwariye, Defensive Pass Interference, 4 yards, enforced at DET 5 - No Play.","5.00","Box Score"
"","2.05","NE","NYJ","7","2021-10-24","2","0:35","3","5","(:35) (Shotgun) 10-M.Jones pass incomplete short middle to 16-J.Meyers. PENALTY on NYJ-44-J.Sherwood, Defensive Pass Interference, 4 yards, enforced at NYJ 5 - No Play.","5.00","Box Score"
"","2.04","CLE","CIN","9","2021-11-07","2","15:00","3","4","(15:00) (Shotgun) 6-B.Mayfield pass incomplete short right to 81-A.Hooper. PENALTY on CIN-37-R.Allen, Defensive Pass Interference, 6 yards, enforced at CIN 7 - No Play.","7.00","Box Score"
"","2.03","CHI","SF","8","2021-10-31","3","10:26","3","8","(10:26) (Shotgun) 1-J.Fields scrambles left end to SF 10 for 4 yards (26-J.Norman). FUMBLES (26-J.Norman), ball out of bounds at SF 8. PENALTY on SF-26-J.Norman, Defensive Holding, 5 yards, enforced at SF 10.","14.00","Box Score"
"","2.02","NE","LAC","8","2021-10-31","1","8:09","3","11","(8:09) (Shotgun) 10-M.Jones scrambles up the middle to LAC 12 for 3 yards (44-K.White). PENALTY on LAC-43-M.Davis, Defensive Holding, 5 yards, enforced at LAC 12.","15.00","Box Score"
"","2.02","NO","SEA","7","2021-10-25","4","3:08","4","5","(3:08) (Field Goal formation) PENALTY on SEA-99-A.Woods, Encroachment, 5 yards, enforced at SEA 24 - No Play.","24.00","Box Score"
"","2.01","CLE","PIT","17","2022-01-03","4","1:20","2","10","(1:20) (Shotgun) 6-B.Mayfield pass incomplete short right to 80-J.Landry. PENALTY on PIT-20-C.Sutton, Defensive Pass Interference, 10 yards, enforced at PIT 11 - No Play.","11.00","Box Score"
"","2.00","DET","SEA","17","2022-01-02","3","5:21","2","18","(5:21) (Shotgun) 12-T.Boyle pass short middle to 32-D.Swift to SEA 12 for 6 yards (56-J.Brooks). PENALTY on SEA-56-J.Brooks, Face Mask (15 Yards), 6 yards, enforced at SEA 12.","18.00","Box Score"
