"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Yard Line (Distance from Off. EZ)","Box Scores"
"","1.62","PHI","NYG","20","2023-01-21","2","1:36","2","9","(1:36) (Shotgun) 1-J.Hurts pass incomplete short right to 14-K.Gainwell. PENALTY on NYG-57-J.Davis, Unnecessary Roughness, 5 yards, enforced at NYG 10.","10.00","Box Score"
"","1.47","SF","DAL","20","2023-01-22","3","1:03","3","8","(1:03) (Shotgun) 13-B.Purdy sacked at DAL 26 for -6 yards (sack split by 90-D.Lawrence and 55-L.Vander Esch). PENALTY on DAL-6-D.Wilson, Defensive Holding, 5 yards, enforced at DAL 20 - No Play.","20.00","Box Score"
"","0.98","CIN","BUF","20","2023-01-22","1","5:25","3","3","(5:25) (Shotgun) 9-J.Burrow sacked at BUF 33 for -10 yards (55-C.Basham). PENALTY on BUF-55-C.Basham, Defensive Offside, 5 yards, enforced at BUF 23 - No Play.","23.00","Box Score"
"","0.60","CIN","BUF","20","2023-01-22","3","2:17","1","5","(2:17) (Shotgun) 9-J.Burrow pass incomplete short left to 16-T.Irwin. PENALTY on BUF-27-T.White, Defensive Pass Interference, 4 yards, enforced at BUF 5 - No Play.","5.00","Box Score"
"","0.10","SF","DAL","20","2023-01-22","3","0:37","1","10","(:37) (Shotgun) 19-D.Samuel right tackle to DAL 15 for no gain (90-D.Lawrence; 42-A.Barr). PENALTY on DAL-95-J.Hankins, Defensive Holding, 5 yards, enforced at DAL 15 - No Play.","15.00","Box Score"
"","0.00","CIN","BUF","20","2023-01-22","3","1:29","2","1","(1:29) 70-D.Smith reported in as eligible.  PENALTY on BUF, Defensive Too Many Men on Field, 0 yards, enforced at BUF 1 - No Play.","1.00","Box Score"
"","-0.00","CIN","BUF","20","2023-01-22","3","1:29","2","1","(1:29) PENALTY on BUF-97-J.Phillips, Encroachment, 0 yards, enforced at BUF 1 - No Play.","1.00","Box Score"
"","-0.62","CIN","BUF","20","2023-01-22","2","1:55","3","5","(1:55) (Shotgun) PENALTY on CIN-79-J.Carman, False Start, 5 yards, enforced at BUF 5 - No Play.","5.00","Box Score"
"","-0.74","PHI","NYG","20","2023-01-21","4","5:57","1","10","(5:57) (Shotgun) 1-J.Hurts pass short left to 6-D.Smith pushed ob at NYG 7 for 6 yards (29-X.McKinney). PENALTY on PHI-65-L.Johnson, Ineligible Downfield Pass, 5 yards, enforced at NYG 13 - No Play.","13.00","Box Score"
"","-0.75","BUF","CIN","20","2023-01-22","4","8:10","3","10","(8:10) (Shotgun) PENALTY on BUF-79-S.Brown, False Start, 5 yards, enforced at CIN 20 - No Play.","20.00","Box Score"
"","-1.20","BUF","CIN","20","2023-01-22","2","10:32","1","10","(10:32) (Shotgun) 17-J.Allen scrambles right tackle to CIN 16 for 5 yards (21-M.Hilton). PENALTY on BUF-71-R.Bates, Offensive Holding, 10 yards, enforced at CIN 21 - No Play.","21.00","Box Score"
