"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Yard Line (Distance from Off. EZ)","Box Scores"
"","3.33","SEA","SF","19","2023-01-14","4","2:00","4","11","(2:00) (Shotgun) 7-G.Smith pass incomplete short left to 16-T.Lockett. PENALTY on SF-26-S.Womack, Defensive Pass Interference, 8 yards, enforced at SF 11 - No Play.","11.00","Box Score"
"","2.65","JAX","LAC","19","2023-01-14","4","5:30","2","9","(5:30) (Shotgun) 16-T.Lawrence pass short right to 13-C.Kirk for 9 yards, TOUCHDOWN. PENALTY on LAC-97-J.Bosa, Unsportsmanlike Conduct, 1 yard, enforced between downs.","9.00","Box Score"
"","1.79","BAL","CIN","19","2023-01-15","2","6:41","3","5","(6:41) (Shotgun) 2-T.Huntley sacked at CIN 7 for -1 yards (sack split by 58-J.Ossai and 24-V.Bell). PENALTY on CIN-23-D.Hill, Face Mask, 3 yards, enforced at CIN 6 - No Play.","6.00","Box Score"
"","0.84","JAX","LAC","19","2023-01-14","3","7:55","3","7","(7:55) (Shotgun) 16-T.Lawrence sacked at LAC 35 for -16 yards (23-B.Callahan). PENALTY on LAC-97-J.Bosa, Defensive Offside, 5 yards, enforced at LAC 19 - No Play.","19.00","Box Score"
"","0.65","BUF","MIA","19","2023-01-15","1","6:45","2","9","(6:45) (Shotgun) 17-J.Allen pass incomplete deep middle to 14-S.Diggs. PENALTY on MIA-55-J.Baker, Defensive Offside, 5 yards, enforced at MIA 22 - No Play.","22.00","Box Score"
"","0.54","CIN","BAL","19","2023-01-15","1","1:05","1","10","(1:05) (Shotgun) 28-J.Mixon right tackle to BAL 19 for 1 yard (24-M.Peters; 6-P.Queen). PENALTY on BAL-24-M.Peters, Taunting, 10 yards, enforced at BAL 19.","20.00","Box Score"
"","0.50","NYG","MIN","19","2023-01-15","4","7:57","1","5","(7:57) 8-D.Jones pass incomplete short right. PENALTY on MIN-7-P.Peterson, Defensive Holding, 3 yards, enforced at MIN 5 - No Play.","5.00","Box Score"
"","0.49","MIN","NYG","19","2023-01-15","1","10:57","2","5","(10:57) (Shotgun) PENALTY on NYG-97-D.Lawrence, Encroachment, 5 yards, enforced at NYG 23 - No Play.","23.00","Box Score"
"","-0.71","LAC","JAX","19","2023-01-14","2","8:23","1","8","(8:23) (Shotgun) PENALTY on LAC-77-Z.Johnson, False Start, 5 yards, enforced at JAX 8 - No Play.","8.00","Box Score"
"","-0.75","NYG","MIN","19","2023-01-15","2","4:21","1","4","(4:21) (Shotgun) 8-D.Jones left end for 4 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on NYG, Illegal Shift, 5 yards, enforced at MIN 4 - No Play.","4.00","Box Score"
"","-0.80","SEA","SF","19","2023-01-14","3","2:44","2","9","(2:44) (Shotgun) 7-G.Smith pass short right to 16-T.Lockett to SF 7 for 7 yards (54-F.Warner). 0 YAC PENALTY on SEA-68-D.Lewis, Ineligible Downfield Pass, 5 yards, enforced at SF 14 - No Play.","14.00","Box Score"
"","-1.03","DAL","TB","19","2023-01-16","2","8:38","1","6","(8:38) (Shotgun) 20-T.Pollard right tackle to TB 1 for 5 yards (23-S.Murphy-Bunting; 45-D.White). PENALTY on DAL-86-D.Schultz, Offensive Holding, 10 yards, enforced at TB 4.","6.00","Box Score"
"","-1.16","CIN","BAL","19","2023-01-15","1","0:47","1","9","(:47) (Shotgun) 9-J.Burrow pass short right to 34-S.Perine pushed ob at BAL 1 for 8 yards (6-P.Queen). PENALTY on CIN-73-J.Williams, Offensive Holding, 10 yards, enforced at BAL 9 - No Play.","9.00","Box Score"
"","-1.16","MIN","NYG","19","2023-01-15","4","12:41","4","1","(12:41) (Run formation) 64-B.Brandel reported in as eligible.  PENALTY on MIN-71-C.Darrisaw, False Start, 4 yards, enforced at NYG 16 - No Play.","16.00","Box Score"
"","-1.31","BAL","CIN","19","2023-01-15","4","0:29","2","10","(:29) 43-J.Hill up the middle pushed ob at CIN 13 for 4 yards (20-E.Apple). PENALTY on BAL-70-K.Zeitler, Offensive Holding, 10 yards, enforced at CIN 17 - No Play.","17.00","Box Score"
"","-1.57","JAX","LAC","19","2023-01-14","3","5:26","3","1","(5:26) PENALTY on JAX, Delay of Game, 5 yards, enforced at LAC 1 - No Play.","1.00","Box Score"
