"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","5.79","NE","PIT","2","2022-09-18","3","4:06","4","9","(4:06) 7-J.Bailey punts 37 yards to PIT 20, Center-49-J.Cardona. 89-G.Olszewski MUFFS catch, RECOVERED by NE-41-B.Schooler at PIT 20. PENALTY on PIT-83-Co.Heyward, Unnecessary Roughness, 10 yards, enforced at PIT 20.","Box Score"
"","5.23","DEN","KC","14","2022-12-11","4","14:19","4","4","(14:19) (Shotgun) 3-R.Wilson pass incomplete deep left to 10-J.Jeudy. PENALTY on KC-21-T.McDuffie, Defensive Pass Interference, 40 yards, enforced at DEN 45 - No Play.","Box Score"
"","4.74","DET","CHI","17","2023-01-01","1","7:38","4","4","(7:38) (Shotgun) 16-J.Goff pass incomplete deep middle to 4-D.Chark [91-D.Robinson]. PENALTY on CHI-6-K.Gordon, Defensive Pass Interference, 34 yards, enforced at CHI 35 - No Play.","Box Score"
"","4.53","DET","MIN","14","2022-12-11","3","11:04","4","8","(11:04) (Punt formation) Direct snap to 38-C.Moore.  38-C.Moore right end pushed ob at MIN 32 for 42 yards (5-J.Reagor). PENALTY on DET-33-Jar.Williams, Taunting, 15 yards, enforced at MIN 32.","Box Score"
"","4.03","MIA","BUF","15","2022-12-17","3","4:05","4","10","(4:05) 4-T.Morstead punts 43 yards to BUF 7, Center-44-B.Ferguson, fair catch by 20-N.Hines. PENALTY on BUF-39-C.Lewis, Roughing the Kicker, 15 yards, enforced at 50 - No Play.","Box Score"
"","3.90","CIN","CLE","14","2022-12-11","2","12:54","4","15","(12:54) 4-D.Chrisman punts 47 yards to CLE 36, Center-48-C.Adomitis, fair catch by 11-D.Peoples-Jones. PENALTY on CLE-42-T.Fields, Roughing the Kicker, 15 yards, enforced at CIN 17 - No Play.","Box Score"
"","3.47","WAS","PHI","10","2022-11-14","1","13:32","4","5","(13:32) 5-T.Way punts 47 yards to PHI 40, Center-54-C.Cheeseman. 18-B.Covey to PHI 48 for 8 yards (58-S.Toney; 39-J.Reaves). PENALTY on PHI-32-R.Blankenship, Roughing the Kicker, 15 yards, enforced at WAS 13 - No Play.","Box Score"
"","3.41","DAL","PHI","16","2022-12-24","2","12:58","4","8","(12:58) (Shotgun) 4-D.Prescott pass incomplete short right to 16-T.Hilton. PENALTY on PHI-2-D.Slay, Illegal Contact, 5 yards, enforced at PHI 45 - No Play.","Box Score"
"","3.40","SF","CAR","5","2022-10-09","3","8:23","4","3","(8:23) (Shotgun) 10-J.Garoppolo pass incomplete short right to 19-D.Samuel. PENALTY on CAR-24-C.Henderson, Defensive Pass Interference, 8 yards, enforced at CAR 43 - No Play.","Box Score"
"","3.40","CAR","SF","5","2022-10-09","3","12:03","4","1","(12:03) 22-C.McCaffrey right end for 19 yards, TOUCHDOWN. PENALTY on SF-54-F.Warner, Low Block, 1 yard, enforced between downs.","Box Score"
