"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","5.35","DAL","TEN","17","2022-12-29","3","9:02","3","19","(9:02) (Shotgun) 4-D.Prescott pass incomplete deep left to 13-M.Gallup. PENALTY on TEN-30-T.Avery, Defensive Pass Interference, 51 yards, enforced at DAL 43 - No Play.","Box Score"
"","4.94","MIA","BUF","15","2022-12-17","1","1:05","1","10","(1:05) 31-R.Mostert right tackle to BUF 8 for 67 yards (7-T.Johnson). PENALTY on BUF-7-T.Johnson, Horse Collar Tackle, 4 yards, enforced at BUF 8.","Box Score"
"","4.74","DET","CHI","17","2023-01-01","1","7:38","4","4","(7:38) (Shotgun) 16-J.Goff pass incomplete deep middle to 4-D.Chark [91-D.Robinson]. PENALTY on CHI-6-K.Gordon, Defensive Pass Interference, 34 yards, enforced at CHI 35 - No Play.","Box Score"
"","4.23","ARI","ATL","17","2023-01-01","3","10:00","3","10","(10:00) (Shotgun) 17-D.Blough pass incomplete deep right to 2-M.Brown. PENALTY on ATL-37-D.Alford, Defensive Pass Interference, 40 yards, enforced at ARI 40 - No Play.","Box Score"
"","4.03","MIA","BUF","15","2022-12-17","3","4:05","4","10","(4:05) 4-T.Morstead punts 43 yards to BUF 7, Center-44-B.Ferguson, fair catch by 20-N.Hines. PENALTY on BUF-39-C.Lewis, Roughing the Kicker, 15 yards, enforced at 50 - No Play.","Box Score"
"","3.41","DAL","PHI","16","2022-12-24","2","12:58","4","8","(12:58) (Shotgun) 4-D.Prescott pass incomplete short right to 16-T.Hilton. PENALTY on PHI-2-D.Slay, Illegal Contact, 5 yards, enforced at PHI 45 - No Play.","Box Score"
"","3.31","MIA","NE","17","2023-01-01","3","1:06","3","5","(1:06) (Shotgun) 19-S.Thompson pass short left to 31-R.Mostert to MIA 47 for 17 yards (3-J.Peppers, 27-M.Bryant). PENALTY on NE-8-J.Bentley, Roughing the Passer, 15 yards, enforced at MIA 47.","Box Score"
"","3.27","DEN","KC","17","2023-01-01","4","8:10","4","7","(8:10) (Shotgun) 3-R.Wilson pass short left intended for 28-L.Murray INTERCEPTED by 32-N.Bolton [55-F.Clark] at KC 30. 32-N.Bolton pushed ob at KC 38 for 8 yards (75-Q.Bailey). PENALTY on KC-23-J.Williams, Illegal Use of Hands, 5 yards, enforced at KC 40 - No Play.","Box Score"
"","3.05","LV","SF","17","2023-01-01","3","12:31","3","11","(12:31) (Shotgun) 3-J.Stidham pass short left to 13-H.Renfrow to LV 19 for 4 yards (54-F.Warner). PENALTY on SF-54-F.Warner, Face Mask, 15 yards, enforced at LV 19.","Box Score"
"","2.91","GB","DET","18","2023-01-08","1","12:58","1","10","(12:58) 12-A.Rodgers pass incomplete deep right to 13-A.Lazard. PENALTY on DET-39-J.Jacobs, Defensive Pass Interference, 46 yards, enforced at GB 49 - No Play.","Box Score"
"","2.90","CIN","NE","16","2022-12-24","1","2:33","3","4","(2:33) (Shotgun) 9-J.Burrow pass deep left to 16-T.Irwin to NE 27 for 18 yards (32-D.McCourty). PENALTY on NE-9-M.Judon, Roughing the Passer, 14 yards, enforced at NE 27.","Box Score"
"","2.90","MIN","IND","15","2022-12-17","4","15:00","2","17","(15:00) (Shotgun) 8-K.Cousins pass short left to 18-J.Jefferson to IND 48 for 20 yards (25-R.Thomas; 32-J.Blackmon). PENALTY on IND-25-R.Thomas, Unnecessary Roughness, 15 yards, enforced at IND 48.","Box Score"
"","2.87","LA","GB","15","2022-12-19","4","10:13","2","6","(10:13) 17-B.Mayfield pass incomplete deep right to 15-T.Atwell. PENALTY on GB-31-A.Amos, Defensive Pass Interference, 40 yards, enforced at LA 19 - No Play.","Box Score"
"","2.83","LA","DEN","16","2022-12-25","2","9:47","3","7","(9:47) (Shotgun) 17-B.Mayfield pass short middle to 89-T.Higbee for 7 yards, TOUCHDOWN. PENALTY on DEN-5-R.Gregory, Unsportsmanlike Conduct, 15 yards, enforced between downs.","Box Score"
"","2.81","WAS","DAL","18","2023-01-08","1","3:14","3","10","(3:14) (Shotgun) 14-S.Howell pass incomplete deep right to 17-T.McLaurin (37-T.Mullen). PENALTY on DAL-37-T.Mullen, Defensive Pass Interference, 24 yards, enforced at WAS 38 - No Play.","Box Score"
"","2.77","LV","KC","18","2023-01-07","4","4:58","3","10","(4:58) (Shotgun) 3-J.Stidham pass short middle to 13-H.Renfrow to LV 39 for 9 yards (32-N.Bolton; 21-T.McDuffie). PENALTY on KC-32-N.Bolton, Face Mask, 15 yards, enforced at LV 39.","Box Score"
