"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Yard Line (Distance from Off. EZ)","Box Scores"
"","3.40","CAR","SF","5","2022-10-09","3","12:03","4","1","(12:03) 22-C.McCaffrey right end for 19 yards, TOUCHDOWN. PENALTY on SF-54-F.Warner, Low Block, 1 yard, enforced between downs.","19.00","Box Score"
"","3.16","MIN","WAS","9","2022-11-06","4","1:55","4","4","(1:55) 1-G.Joseph 22 yard field goal is GOOD, NULLIFIED by Penalty, Center-42-A.DePaola, Holder-14-R.Wright. PENALTY on WAS-91-J.Ridgeway, Unnecessary Roughness, 2 yards, enforced at WAS 4 - No Play.","4.00","Box Score"
"","3.14","LV","SEA","12","2022-11-27","1","9:30","3","5","(9:30) (Shotgun) 4-D.Carr pass deep right to 22-A.Abdullah for 18 yards, TOUCHDOWN. PENALTY on LV-22-A.Abdullah, Unsportsmanlike Conduct, 15 yards, enforced between downs.","18.00","Box Score"
"","3.14","CIN","KC","13","2022-12-04","2","13:39","3","8","(13:39) (Shotgun) 9-J.Burrow pass short right to 85-T.Higgins for 12 yards, TOUCHDOWN. PENALTY on CIN-1-J.Chase, Taunting, 15 yards, enforced between downs.","12.00","Box Score"
"","3.03","NYG","PHI","14","2022-12-11","4","0:44","1","10","(:44) (Shotgun) 2-T.Taylor pass deep right to 80-R.James for 19 yards, TOUCHDOWN. PENALTY on PHI-22-M.Epps, Unnecessary Roughness, 1 yard, enforced between downs.","19.00","Box Score"
"","2.99","SF","SEA","2","2022-09-18","4","3:13","3","5","(3:13) (Shotgun) 10-J.Garoppolo pass incomplete deep right to 11-B.Aiyuk. PENALTY on SEA-30-M.Jackson, Defensive Pass Interference, 19 yards, enforced at SEA 20 - No Play. Penalty on SEA-52-D.Taylor, Defensive Offside, declined.","20.00","Box Score"
"","2.99","LV","KC","5","2022-10-10","2","14:14","2","17","(14:14) (Shotgun) 4-D.Carr pass incomplete deep left to 17-D.Adams. PENALTY on KC-35-Ja.Watson, Defensive Pass Interference, 23 yards, enforced at KC 24 - No Play.","24.00","Box Score"
"","2.98","LAC","CLE","5","2022-10-09","3","10:28","2","10","(10:28) (Shotgun) 30-A.Ekeler right tackle for 22 yards, TOUCHDOWN. PENALTY on CLE-28-J.Owusu-Koramoah, Face Mask, 15 yards, enforced between downs.","22.00","Box Score"
"","2.95","PHI","DAL","6","2022-10-16","1","0:08","4","4","(:08) (No Huddle, Shotgun) PENALTY on DAL-56-D.Fowler, Neutral Zone Infraction, 5 yards, enforced at DAL 10 - No Play.","10.00","Box Score"
"","2.87","CIN","ATL","7","2022-10-23","4","0:31","4","2","(:31) (Shotgun) PENALTY on ATL-93-T.Horne, Encroachment, 2 yards, enforced at ATL 4 - No Play.","4.00","Box Score"
"","2.83","LA","DEN","16","2022-12-25","2","9:47","3","7","(9:47) (Shotgun) 17-B.Mayfield pass short middle to 89-T.Higbee for 7 yards, TOUCHDOWN. PENALTY on DEN-5-R.Gregory, Unsportsmanlike Conduct, 15 yards, enforced between downs.","7.00","Box Score"
"","2.74","ARI","LV","2","2022-09-18","4","0:30","4","4","(:30) (Shotgun) 1-K.Murray pass incomplete short left to 2-M.Brown. PENALTY on LV-33-R.Teamer, Defensive Holding, 3 yards, enforced at LV 6 - No Play.","6.00","Box Score"
