"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","6.54","CAR","ATL","8","2022-10-30","4","0:23","1","10","(:23) (Shotgun) 11-P.Walker pass deep left to 2-D.Moore for 62 yards, TOUCHDOWN. PENALTY on CAR-2-D.Moore, Unsportsmanlike Conduct, 15 yards, enforced between downs.","Box Score"
"","5.35","DAL","TEN","17","2022-12-29","3","9:02","3","19","(9:02) (Shotgun) 4-D.Prescott pass incomplete deep left to 13-M.Gallup. PENALTY on TEN-30-T.Avery, Defensive Pass Interference, 51 yards, enforced at DAL 43 - No Play.","Box Score"
"","5.23","DEN","KC","14","2022-12-11","4","14:19","4","4","(14:19) (Shotgun) 3-R.Wilson pass incomplete deep left to 10-J.Jeudy. PENALTY on KC-21-T.McDuffie, Defensive Pass Interference, 40 yards, enforced at DEN 45 - No Play.","Box Score"
"","4.74","DET","CHI","17","2023-01-01","1","7:38","4","4","(7:38) (Shotgun) 16-J.Goff pass incomplete deep middle to 4-D.Chark [91-D.Robinson]. PENALTY on CHI-6-K.Gordon, Defensive Pass Interference, 34 yards, enforced at CHI 35 - No Play.","Box Score"
"","4.54","TB","NO","13","2022-12-05","4","3:10","2","20","(3:10) (No Huddle, Shotgun) 12-T.Brady pass incomplete deep middle to 13-M.Evans [91-K.Street]. PENALTY on NO-29-P.Adebo, Defensive Pass Interference, 44 yards, enforced at NO 45 - No Play.","Box Score"
"","4.53","DET","MIN","14","2022-12-11","3","11:04","4","8","(11:04) (Punt formation) Direct snap to 38-C.Moore.  38-C.Moore right end pushed ob at MIN 32 for 42 yards (5-J.Reagor). PENALTY on DET-33-Jar.Williams, Taunting, 15 yards, enforced at MIN 32.","Box Score"
"","4.30","MIN","NO","4","2022-10-02","4","4:27","3","8","(4:27) (Shotgun) 8-K.Cousins pass incomplete deep left to 19-A.Thielen. PENALTY on NO-23-M.Lattimore, Defensive Pass Interference, 41 yards, enforced at NO 44 - No Play. Penalty on NO-29-P.Adebo, Defensive Holding, declined.","Box Score"
"","4.03","MIA","BUF","15","2022-12-17","3","4:05","4","10","(4:05) 4-T.Morstead punts 43 yards to BUF 7, Center-44-B.Ferguson, fair catch by 20-N.Hines. PENALTY on BUF-39-C.Lewis, Roughing the Kicker, 15 yards, enforced at 50 - No Play.","Box Score"
"","3.90","CIN","CLE","14","2022-12-11","2","12:54","4","15","(12:54) 4-D.Chrisman punts 47 yards to CLE 36, Center-48-C.Adomitis, fair catch by 11-D.Peoples-Jones. PENALTY on CLE-42-T.Fields, Roughing the Kicker, 15 yards, enforced at CIN 17 - No Play.","Box Score"
"","3.83","DAL","IND","13","2022-12-04","4","7:44","3","9","(7:44) (Shotgun) 4-D.Prescott pass incomplete deep right to 85-N.Brown. PENALTY on IND-31-B.Facyson, Defensive Pass Interference, 44 yards, enforced at DAL 29 - No Play.","Box Score"
