Rank,Expected Points Added (EPA),Offense,Defense,Week,Date,Quarter,Time,Down,Distance,Description,Box Scores
,4.57,GB,SF,20,2024-01-20,3,9:40,3,15,"(9:40) (Shotgun) 10-J.Love pass incomplete deep middle to 80-B.Melton. PENALTY on SF-20-A.Thomas, Defensive Pass Interference, 41 yards, enforced at GB 40 - No Play.",Box Score
,1.78,GB,SF,20,2024-01-20,1,9:00,3,6,"(9:00) (Shotgun) 10-J.Love pass incomplete deep left to 87-R.Doubs [92-C.Young]. PENALTY on SF-20-A.Thomas, Defensive Pass Interference, 13 yards, enforced at SF 26 - No Play.",Box Score
,1.16,GB,SF,20,2024-01-20,1,4:05,2,10,"(4:05) (Shotgun) 10-J.Love pass incomplete short middle to 9-C.Watson. PENALTY on SF-31-T.Gipson, Defensive Pass Interference, 7 yards, enforced at GB 18 - No Play.",Box Score
,1.14,DET,TB,20,2024-01-21,1,10:34,2,6,"(10:34) 5-D.Montgomery right end to TB 32 for 5 yards (52-K.Britt). PENALTY on TB-94-C.Kancey, Defensive Holding, 5 yards, enforced at TB 32.",Box Score
,1.13,KC,BUF,20,2024-01-21,4,9:31,3,6,"(9:31) (Shotgun) 15-P.Mahomes pass incomplete short right to 4-R.Rice. PENALTY on BUF-42-D.Williams, Defensive Pass Interference, 3 yards, enforced at KC 47 - No Play.",Box Score
,0.86,HOU,BAL,20,2024-01-20,3,9:27,2,9,"(9:27) (Shotgun) 7-C.Stroud pass incomplete short right. PENALTY on BAL-21-B.Stephens, Defensive Holding, 5 yards, enforced at HOU 37 - No Play.",Box Score
,0.38,KC,BUF,20,2024-01-21,2,11:45,1,10,"(11:45) (Shotgun) 15-P.Mahomes pass incomplete deep left to 83-N.Gray. PENALTY on BUF-31-R.Douglas, Defensive Holding, 5 yards, enforced at BUF 27 - No Play.",Box Score
,-0.08,TB,DET,20,2024-01-21,3,3:29,1,5,"(3:29) 6-B.Mayfield pass incomplete short middle to 88-C.Otton (6-I.Melifonwu) [91-L.Onwuzurike]. TB-1-R.White was injured during the play.  PENALTY on DET-6-I.Melifonwu, Defensive Holding, 5 yards, enforced at TB 30 - No Play.",Box Score
,-0.39,KC,BUF,20,2024-01-21,2,0:20,1,10,"(:20) (Shotgun) 15-P.Mahomes pass short left to 10-I.Pacheco to KC 30 for -5 yards (40-V.Miller). Penalty on KC-74-J.Taylor, Illegal Use of Hands, declined. PENALTY on KC-79-D.Smith, Offensive Holding, 10 yards, enforced at KC 35 - No Play.",Box Score
,-0.64,BAL,HOU,20,2024-01-20,1,3:28,4,2,"(3:28) 11-J.Stout punts 24 yards to BAL 45, Center-69-T.Ott, out of bounds. PENALTY on HOU-17-K.Boyd, Offensive Holding, 10 yards, enforced at BAL 45.",Box Score
,-0.91,HOU,BAL,20,2024-01-20,4,6:07,2,10,"(6:07) (Shotgun) 7-C.Stroud pass incomplete deep left to 86-D.Schultz. PENALTY on HOU-69-S.Mason, Offensive Holding, 10 yards, enforced at HOU 29 - No Play.",Box Score
,-1.26,TB,DET,20,2024-01-21,2,11:19,3,5,"(11:19) (Shotgun) 6-B.Mayfield pass short middle to 22-C.Edmonds to TB 34 for 4 yards (42-J.Reeves-Maybin). PENALTY on TB-88-C.Otton, Offensive Pass Interference, 10 yards, enforced at TB 30 - No Play.",Box Score
