Rank,Expected Points Added (EPA),Offense,Defense,Week,Date,Quarter,Time,Down,Distance,Description,Box Scores
,1.58,HOU,CLE,19,2024-01-13,2,2:30,3,5,"(2:30) (Shotgun) 7-C.Stroud pass incomplete deep left to 86-D.Schultz [6-J.Owusu-Koramoah]. PENALTY on CLE-33-R.Hickman, Defensive Pass Interference, 12 yards, enforced at CLE 39 - No Play.",Box Score
,1.58,PIT,BUF,19,2024-01-15,2,11:43,2,9,"(11:43) (Shotgun) 2-M.Rudolph pass incomplete short left to 18-D.Johnson. PENALTY on BUF-24-K.Elam, Defensive Pass Interference, 9 yards, enforced at BUF 12 - No Play.",Box Score
,1.58,PHI,TB,19,2024-01-15,3,9:21,3,9,"(9:21) (Shotgun) 1-J.Hurts pass incomplete short middle to 88-D.Goedert. PENALTY on TB-9-J.Tryon, Defensive Pass Interference, 4 yards, enforced at PHI 14 - No Play.",Box Score
,0.93,LA,DET,19,2024-01-14,1,8:07,3,1,"(8:07) 9-M.Stafford pass incomplete short left to 17-P.Nacua. PENALTY on DET-32-B.Branch, Defensive Pass Interference, 9 yards, enforced at LA 34 - No Play.",Box Score
,0.28,LA,DET,19,2024-01-14,2,6:26,1,10,"(6:26) (Shotgun) 9-M.Stafford pass incomplete deep right to 89-T.Higbee [54-A.McNeill]. PENALTY on DET-2-C.Gardner-Johnson, Defensive Holding, 5 yards, enforced at LA 46 - No Play.",Box Score
,0.27,KC,MIA,19,2024-01-13,2,1:43,1,10,"(1:43) (Shotgun) 15-P.Mahomes pass incomplete short right to 87-T.Kelce. PENALTY on MIA-51-D.Long, Defensive Holding, 5 yards, enforced at KC 39 - No Play.",Box Score
,0.18,BUF,PIT,19,2024-01-15,4,10:27,1,10,"(10:27) (Shotgun) 76-D.Edwards reported in as eligible.  17-J.Allen pass incomplete deep left to 86-D.Kincaid [95-K.Benton]. PENALTY on PIT-16-M.Jack, Defensive Holding, 5 yards, enforced at BUF 30 - No Play.",Box Score
,0.14,DAL,GB,19,2024-01-14,3,3:12,1,2,"(3:12) 4-D.Prescott pass incomplete short right to 88-C.Lamb (25-K.Nixon). PENALTY on GB-55-K.Enagbare, Defensive Holding, 1 yard, enforced at GB 2 - No Play. Penalty on GB-37-C.Valentine, Defensive Holding, declined.",Box Score
,0.0,DAL,GB,19,2024-01-14,3,3:03,0,0,"TWO-POINT CONVERSION ATTEMPT. 4-D.Prescott pass to 87-J.Ferguson is complete. ATTEMPT SUCCEEDS. PENALTY on DAL-18-J.Tolbert, Offensive Pass Interference, 10 yards, enforced at GB 2 - No Play. Penalty on DAL-63-T.Biadasz, Ineligible Downfield Pass, declined.",Box Score
,-0.71,PHI,TB,19,2024-01-15,4,4:01,3,8,"(4:01) (No Huddle, Shotgun) 1-J.Hurts pass short middle to 88-D.Goedert to PHI 49 for 11 yards (27-Z.McCollum). PHI-88-D.Goedert was injured during the play.  PENALTY on PHI-88-D.Goedert, Offensive Pass Interference, 10 yards, enforced at PHI 38 - No Play.",Box Score
,-0.84,CLE,HOU,19,2024-01-13,3,8:15,1,10,"(8:15) (Shotgun) 15-J.Flacco pass short left to 34-J.Ford to HOU 44 for no gain (6-D.Perryman, 53-B.Cashman). PENALTY on CLE-55-E.Pocic, Offensive Holding, 10 yards, enforced at HOU 44 - No Play.",Box Score
,-0.85,TB,PHI,19,2024-01-15,4,9:13,1,10,"(9:13) 77-J.Skule reported in as eligible.  22-C.Edmonds left end to TB 46 for no gain (98-J.Carter). PENALTY on TB-41-K.Kieft, Offensive Holding, 10 yards, enforced at TB 46 - No Play.",Box Score
,-0.86,HOU,CLE,19,2024-01-13,2,2:25,1,10,"(2:25) 26-D.Singletary left guard pushed ob at CLE 4 for 23 yards (42-T.Fields). PENALTY on HOU-69-S.Mason, Offensive Holding, 10 yards, enforced at CLE 25.",Box Score
,-0.87,KC,MIA,19,2024-01-13,4,15:00,2,9,"(15:00) (Shotgun) 10-I.Pacheco right end to MIA 25 for 13 yards (5-J.Ramsey). PENALTY on KC-65-T.Smith, Offensive Holding, 10 yards, enforced at MIA 35.",Box Score
,-1.11,DET,LA,19,2024-01-14,1,2:42,1,10,"(2:42) 26-J.Gibbs left tackle to LA 30 for 3 yards (53-E.Jones, 37-Q.Lake). PENALTY on DET-77-F.Ragnow, Offensive Holding, 10 yards, enforced at LA 33 - No Play.",Box Score
,-1.26,GB,DAL,19,2024-01-14,1,0:06,1,6,"(:06) 33-A.Jones right end to DAL 1 for 5 yards (2-J.Lewis; 33-D.Clark). PENALTY on GB-85-T.Kraft, Offensive Holding, 10 yards, enforced at DAL 6 - No Play.",Box Score
,-1.43,LA,DET,19,2024-01-14,4,4:24,3,4,"(4:24) (Shotgun) 9-M.Stafford pass incomplete short right to 20-R.Rivers. PENALTY on LA-79-R.Havenstein, Offensive Holding, 10 yards, enforced at DET 34 - No Play.",Box Score
