"Rank","Week","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","18.00","CHI","GB","18","2024-01-07","4","7:56","4","5","(7:56) (Shotgun) PENALTY on GB-52-R.Gary, Defensive Offside, 5 yards, enforced at GB 43 - No Play.","Box Score"
"","18.00","HOU","IND","18","2024-01-06","2","7:58","4","1","(7:58) (No Huddle) PENALTY on HOU-78-L.Tunsil, False Start, 5 yards, enforced at 50 - No Play.","Box Score"
"","18.00","PHI","NYG","18","2024-01-07","3","11:45","4","8","(11:45) (Shotgun) PENALTY on PHI, Delay of Game, 5 yards, enforced at NYG 39 - No Play.","Box Score"
"","18.00","IND","HOU","18","2024-01-06","1","9:19","4","4","(9:19) (No Huddle, Shotgun) PENALTY on IND, Delay of Game, 5 yards, enforced at HOU 14 - No Play.","Box Score"
"","18.00","PIT","BAL","18","2024-01-06","1","0:05","4","3","(:05) 6-P.Harvin punts 49 yards to BAL 7, Center-46-C.Kuntz, downed by PIT-42-J.Pierre. PENALTY on PIT, Offensive Too Many Men on Field, 5 yards, enforced at PIT 44 - No Play.","Box Score"
"","18.00","NO","ATL","18","2024-01-07","4","6:39","4","5","(6:39) (Punt formation) PENALTY on NO-49-Z.Wood, False Start, 5 yards, enforced at NO 24 - No Play.","Box Score"
"","18.00","BAL","PIT","18","2024-01-06","2","7:47","4","7","(7:47) 11-J.Stout punts 49 yards to PIT 4, Center-69-T.Ott, downed by BAL-18-L.Treadwell. PENALTY on BAL-30-T.Simpson, Ineligible Downfield Kick, 6 yards, enforced at BAL 47 - No Play.","Box Score"
"","18.00","MIN","DET","18","2024-01-07","2","14:13","4","6","(14:13) (Shotgun) 12-N.Mullens scrambles left end to DET 44 for 6 yards (34-A.Anzalone). PENALTY on DET-29-K.Vildor, Illegal Contact, 5 yards, enforced at DET 44.","Box Score"
"","18.00","CIN","CLE","18","2024-01-07","3","7:41","4","4","(7:41) (Shotgun) PENALTY on CLE-96-J.Elliott, Neutral Zone Infraction, 5 yards, enforced at CLE 40 - No Play.","Box Score"
"","17.00","MIA","BAL","17","2023-12-31","4","0:39","4","1","(:39) (Shotgun) PENALTY on MIA-71-Ki.Smith, False Start, 4 yards, enforced at MIA 34 - No Play.","Box Score"
"","17.00","MIA","BAL","17","2023-12-31","2","0:15","4","1","(:15) (Shotgun) 1-T.Tagovailoa pass short left to 10-T.Hill ran ob at BAL 45 for 7 yards (10-A.Maulet). PENALTY on MIA-11-C.Wilson, Offensive Pass Interference, 10 yards, enforced at MIA 48 - No Play.","Box Score"
"","17.00","BAL","MIA","17","2023-12-31","3","6:10","4","2","(6:10) (Run formation) PENALTY on BAL, Delay of Game, 5 yards, enforced at BAL 45 - No Play.","Box Score"
"","17.00","LV","IND","17","2023-12-31","3","11:43","4","7","(11:43) 6-A.Cole punts 51 yards to end zone, Center-50-J.Bobenmoyer, Touchback. PENALTY on IND-45-E.Speed, Roughing the Kicker, 15 yards, enforced at LV 49 - No Play.","Box Score"
"","17.00","LV","IND","17","2023-12-31","3","11:49","4","2","(11:49) (Punt formation) PENALTY on LV, Delay of Game, 5 yards, enforced at IND 46 - No Play.","Box Score"
"","17.00","NYJ","CLE","17","2023-12-28","4","10:56","4","1","(10:56) (No Huddle, Shotgun) 14-T.Siemian right guard to CLE 26 for no gain (96-J.Elliott). The Replay Official reviewed the too many players on field ruling, and the play was REVERSED. (No Huddle, Shotgun) 14-T.Siemian right guard to CLE 26 for no gain (96-J.Elliott). PENALTY on CLE, Defensive Too Many Men on Field, 6 yards, enforced at CLE 26 - No Play.","Box Score"
"","17.00","DEN","LAC","17","2023-12-31","4","12:52","4","1","(12:52) 75-Q.Bailey reported in as eligible.  4-J.Stidham pass incomplete deep right to 10-J.Jeudy (32-A.Gilman). PENALTY on LAC-32-A.Gilman, Defensive Pass Interference, 28 yards, enforced at LAC 29 - No Play.","Box Score"
"","17.00","HOU","TEN","17","2023-12-31","1","1:18","4","5","(1:18) 11-C.Johnston punts 59 yards to TEN 30, Center-46-J.Weeks. 12-M.Kinsey to TEN 34 for 4 yards (17-K.Boyd). PENALTY on TEN-42-C.Murphy, Running Into the Kicker, 5 yards, enforced at HOU 11 - No Play.","Box Score"
"","17.00","NE","BUF","17","2023-12-31","3","3:09","4","9","(3:09) (Field Goal formation) PENALTY on NE, Delay of Game, 5 yards, enforced at BUF 34 - No Play.","Box Score"
"","17.00","DEN","LAC","17","2023-12-31","1","3:58","4","2","(3:58) (Run formation) PENALTY on DEN, Delay of Game, 5 yards, enforced at LAC 8 - No Play.","Box Score"
"","17.00","PHI","ARI","17","2023-12-31","1","1:38","4","1","(1:38) (No Huddle) 1-J.Hurts up the middle to ARI 18 for 2 yards (18-B.Ojulari). PENALTY on ARI-92-K.Strong, Defensive Offside, 6 yards, enforced at ARI 20 - No Play.","Box Score"
"","17.00","DET","DAL","17","2023-12-30","4","12:21","4","3","(12:21) (Run formation) PENALTY on DET, Delay of Game, 5 yards, enforced at DAL 7 - No Play.","Box Score"
"","17.00","NYJ","CLE","17","2023-12-28","3","9:31","4","8","(9:31) (Field Goal formation) PENALTY on NYJ, Delay of Game, 5 yards, enforced at CLE 8 - No Play.","Box Score"
"","17.00","NYJ","CLE","17","2023-12-28","4","13:35","4","6","(13:35) (Shotgun) PENALTY on NYJ, Delay of Game, 5 yards, enforced at CLE 39 - No Play.","Box Score"
