Week,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LA,LAC,LV,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SEA,SF,TB,TEN,WAS
1,3,3,3,7,2,0,2,1,3,2,1,0,1,1,5,1,2,2,4,1,6,2,3,0,1,6,0,1,2,6,2,3
2,1,2,5,2,1,2,1,2,3,1,4,2,2,0,3,1,0,5,1,2,1,4,1,4,3,1,1,2,2,1,2,4
3,2,3,5,2,2,3,5,4,2,1,1,3,2,2,1,2,1,3,4,1,2,2,1,4,1,5,5,1,3,2,2,3
4,4,2,1,1,2,1,3,3,1,1,2,2,4,4,1,1,1,1,0,0,4,3,2,2,2,2,1,2,4,4,2,2
5,1,3,2,5,4,2,1,5,2,2,1,0,3,2,3,2,3,3,4,1,3,3,3,2,2,2,2,1,6,2,2,2
6,2,0,1,3,1,3,2,4,4,3,2,2,1,0,0,2,2,2,3,2,7,2,0,0,0,2,2,1,0,4,3,2
7,2,0,2,0,3,3,0,1,0,1,3,2,3,3,0,5,0,0,4,2,0,4,3,2,3,0,0,2,4,1,3,2
8,2,1,0,1,3,2,1,1,4,1,2,3,3,3,1,7,0,3,0,3,3,2,0,1,3,1,4,2,2,4,7,1
9,3,2,6,3,3,1,3,2,3,2,0,2,4,1,0,3,3,2,1,1,4,1,5,1,0,1,1,0,1,0,0,0
10,3,1,1,3,5,0,0,2,3,1,2,3,0,4,3,2,0,2,1,4,6,2,2,0,4,1,4,2,2,2,2,0
11,1,3,3,3,2,2,0,4,1,0,4,3,1,1,2,3,0,5,1,2,1,4,2,2,2,1,3,2,2,3,2,0
12,0,0,3,1,2,3,2,1,7,4,4,1,0,4,2,0,0,6,6,2,2,1,1,1,3,3,1,2,4,2,1,2
13,2,2,2,1,0,2,3,0,2,3,0,0,1,0,1,3,3,2,3,0,3,1,4,0,1,2,2,1,3,2,0,3
14,3,2,8,3,0,1,0,3,1,1,2,2,4,0,4,2,3,0,6,0,5,0,2,1,0,0,1,3,2,0,1,3
15,1,1,1,3,0,1,2,2,1,4,2,1,3,0,2,2,2,1,5,2,2,1,3,1,2,3,0,4,0,0,3,0
16,2,1,3,3,2,3,2,1,1,1,0,0,4,3,0,1,0,4,2,3,0,1,2,0,2,3,1,4,2,3,2,0
17,3,1,1,1,0,2,3,2,5,1,3,1,3,2,1,5,1,0,1,2,1,1,1,2,0,2,2,3,4,0,2,0
18,4,2,0,2,1,0,1,1,1,1,1,0,1,3,3,2,0,7,1,2,2,1,0,0,2,2,1,1,2,1,1,1
All Weeks,39,29,47,44,33,31,31,39,44,30,34,27,40,33,32,44,21,48,47,30,52,35,35,23,31,37,31,34,45,37,37,28
