Week,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LA,LAC,LV,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SEA,SF,TB,TEN,WAS
1,4,4,3,2,4,1,2,2,2,3,4,0,1,3,3,2,0,2,1,1,1,0,3,5,4,4,7,4,6,1,3,3
2,4,4,0,2,3,2,1,1,1,5,0,2,5,3,1,3,2,1,5,6,1,3,5,5,4,4,1,4,1,2,5,0
3,4,1,0,4,2,2,2,3,3,2,6,4,2,3,1,3,2,3,1,2,2,1,2,3,3,5,0,4,3,2,3,2
4,4,0,3,2,6,2,3,2,1,4,6,3,6,4,2,3,0,3,1,2,2,3,6,3,3,2,4,8,2,3,2,7
5,1,2,4,2,2,2,3,4,2,1,4,4,2,4,2,3,3,2,7,4,5,4,2,3,3,3,4,4,4,2,3,4
6,3,1,3,5,1,2,1,5,3,5,0,5,0,6,3,3,3,7,0,7,0,4,2,2,4,1,4,2,2,3,0,2
7,1,3,2,0,0,1,2,3,1,1,5,5,1,1,5,5,0,6,2,1,0,2,4,5,7,0,3,6,5,0,0,5
8,5,0,6,2,6,3,0,4,4,3,3,3,3,2,2,0,1,0,4,4,5,4,2,2,1,5,5,0,2,1,1,1
9,4,1,3,1,5,4,1,0,0,0,5,5,2,0,2,7,3,3,2,2,1,1,1,0,1,1,0,2,0,5,2,3
10,4,3,0,4,5,8,0,4,7,3,2,2,3,2,4,0,1,0,3,1,5,0,5,1,0,3,3,2,2,3,4,2
11,2,1,4,7,3,4,3,4,3,2,3,3,2,5,0,3,4,1,3,0,2,3,1,2,1,5,3,0,1,0,0,3
12,2,1,2,3,4,1,7,3,7,2,2,2,3,1,1,3,4,2,3,2,1,4,2,3,0,1,3,1,5,2,4,4
13,0,2,2,4,0,3,5,1,3,3,1,1,3,2,2,3,2,2,2,5,1,4,3,2,5,4,1,2,3,4,4,5
14,3,0,2,2,0,0,3,6,2,2,7,0,1,0,6,2,5,1,5,2,0,3,0,4,5,2,2,0,1,5,2,0
15,1,2,1,2,1,3,3,2,1,3,4,2,1,4,1,8,5,1,3,5,5,2,3,2,1,1,2,3,3,6,3,4
16,4,5,1,6,4,1,5,2,2,6,1,3,1,1,1,4,2,2,0,5,2,7,1,5,3,1,2,3,2,1,1,2
17,3,4,2,0,5,2,0,2,3,3,5,1,4,6,2,4,0,2,3,4,1,1,2,3,1,1,3,0,6,6,8,1
18,4,1,4,2,1,0,3,4,4,2,3,2,6,0,1,2,0,2,2,1,2,2,1,1,1,1,2,0,1,3,2,1
All Weeks,53,35,42,50,52,41,44,52,49,50,61,47,46,47,39,58,37,40,47,54,36,48,45,51,47,44,49,45,49,49,47,49
